team_name,Season,matches_played,all-outs
Patna Pirates,5,26,55
Gujarat Fortunegiants,5,24,36
Puneri Paltan,5,24,32
Bengaluru Bulls,5,22,28
Bengal Warriors,5,24,27
Haryana Steelers,5,23,27
Telugu Titans,5,22,25
U.P. Yoddha,5,23,23
Jaipur Pink Panthers,5,22,22
U Mumba,5,22,21
Tamil Thalaivas,5,22,19
Dabang Delhi K.C.,5,22,18
