team_name,Season,matches_played,all-outs
Telugu Titans,4,16,22
Puneri Paltan,4,16,21
Patna Pirates,4,16,19
Jaipur Pink Panthers,4,16,17
Dabang Delhi K.C.,4,14,15
U Mumba,4,14,15
Bengal Warriors,4,14,11
Bengaluru Bulls,4,14,9
