team_name,Season,matches_played,all-outs
Patna Pirates,3,16,30
U Mumba,3,16,27
Puneri Paltan,3,16,25
Bengal Warriors,3,16,17
Telugu Titans,3,14,13
Bengaluru Bulls,3,14,12
Jaipur Pink Panthers,3,14,11
Dabang Delhi K.C.,3,14,9
