team_name,Season,matches_played,total-points
Dabang Delhi K.C.,3,14,525
Patna Pirates,3,16,468
Bengaluru Bulls,3,14,467
Bengal Warriors,3,16,449
Telugu Titans,3,14,437
Puneri Paltan,3,16,433
Jaipur Pink Panthers,3,14,427
U Mumba,3,16,397
