team_name,Season,matches_played,total-points
Patna Pirates,0,131,4307
Dabang Delhi K.C.,0,122,4086
Puneri Paltan,0,126,4025
Bengal Warriors,0,125,3946
Bengaluru Bulls,0,125,3907
Jaipur Pink Panthers,0,124,3881
Telugu Titans,0,122,3861
U Mumba,0,126,3730
Tamil Thalaivas,0,64,2188
U.P. Yoddha,0,66,2180
Haryana Steelers,0,64,2158
Gujarat Fortunegiants,0,69,2001
