player_name,season,matches_played,team,raid-points
Rahul Chaudhari,1,16,telugu-titans,146
Pardeep Narwal,1,16,patna-pirates,131
Deepak Niwas Hooda,1,16,puneri-paltan,126
Rohit Kumar,1,14,bengaluru-bulls,93
Jasvir Singh,1,14,jaipur-pink-panthers,82
Kashiling Adake,1,13,dabang-delhi-kc,78
Anup Kumar,1,14,u-mumba,72
Rishank Devadiga,1,14,u-mumba,70
Rajesh Narwal,1,16,jaipur-pink-panthers,66
Ajay Thakur,1,16,puneri-paltan,63
Meraj Sheykh,1,14,dabang-delhi-kc,63
Ajay Kumar,1,15,jaipur-pink-panthers,61
Jang Kun Lee,1,11,bengal-warriors,61
Nilesh Salunke,1,15,telugu-titans,61
Monu Goyat,1,13,bengal-warriors,59
Rajesh Mondal,1,15,patna-pirates,57
Nitin Madane,1,13,bengal-warriors,51
Selvamani K,1,13,dabang-delhi-kc,45
Rakesh Kumar,1,14,u-mumba,44
CPO Surjeet Singh,1,10,patna-pirates,33
Nitin Tomar,1,12,puneri-paltan,33
Sonu Narwal,1,11,puneri-paltan,32
Abolfazl Maghsodloumahali,1,9,patna-pirates,25
Manjeet Chhillar,1,12,puneri-paltan,24
Sandeep Narwal,1,16,telugu-titans,24
Shabeer Bappu,1,12,jaipur-pink-panthers,24
Suresu Kumar,1,11,u-mumba,20
Pawan Kumar Kadian,1,9,bengaluru-bulls,20
Prashanth Kumar Rai,1,9,dabang-delhi-kc,19
Vinod Kumar,1,9,bengaluru-bulls,19
Tushar Patil,1,8,jaipur-pink-panthers,14
Ashish Kumar,1,14,bengaluru-bulls,14
Yogesh Hooda,1,5,bengaluru-bulls,14
Mahipal Narwal,1,14,jaipur-pink-panthers,13
Ravi Dalal,1,6,bengal-warriors,13
Deepak Narwal,1,6,dabang-delhi-kc,13
K. Prapanjan,1,11,telugu-titans,12
Deepak Kumar Dahiya,1,7,bengaluru-bulls,12
Pawan Kumar Sehrawat,1,10,bengaluru-bulls,11
Surender Singh,1,11,u-mumba,9
Athul MS,1,4,telugu-titans,8
Parmod Narwal,1,8,puneri-paltan,8
Vinoth Kumar,1,3,telugu-titans,8
Kuldeep Singh,1,15,patna-pirates,8
Shrikant Jadhav,1,5,bengal-warriors,7
Sumit Singh,1,5,bengaluru-bulls,7
Sukesh Hegde,1,9,telugu-titans,7
Surjeet Narwal,1,5,bengal-warriors,7
Vikash Kumar,1,6,u-mumba,6
Ran Singh,1,16,jaipur-pink-panthers,5
Mahesh Goud,1,7,patna-pirates,5
Joginder Singh Narwal,1,16,puneri-paltan,4
Umesh Mhatre,1,2,dabang-delhi-kc,4
Amit Om Prakash Rathi,1,2,bengaluru-bulls,4
Surender Nada,1,13,bengaluru-bulls,4
Gurvinder Singh,1,6,u-mumba,4
Mohit Chhillar,1,14,bengaluru-bulls,3
Vikash Khandola,1,4,dabang-delhi-kc,3
Amit Hooda,1,16,jaipur-pink-panthers,2
Amit Nagar,1,3,jaipur-pink-panthers,2
Ravindra Ramesh Kumawat,1,2,bengal-warriors,2
Nilesh Shinde,1,12,bengal-warriors,2
Dharmaraj Cheralathan,1,14,patna-pirates,2
Vishal Bhardwaj,1,2,telugu-titans,1
Hadi Oshtorak,1,7,patna-pirates,1
Sunil,1,10,u-mumba,1
Sunil Kumar,1,1,patna-pirates,1
Parveen Narwal,1,1,jaipur-pink-panthers,1
Nitin Kumar,1,1,u-mumba,1
Anil Kumar,1,9,dabang-delhi-kc,1
Sunny,1,3,patna-pirates,1
