team_name,Season,matches_played,successful-raids
Bengaluru Bulls,6,24,431
Patna Pirates,6,22,406
Dabang Delhi K.C.,6,24,401
Gujarat Fortunegiants,6,25,392
U Mumba,6,23,372
Haryana Steelers,6,22,361
U.P. Yoddha,6,25,357
Tamil Thalaivas,6,22,344
Bengal Warriors,6,23,340
Jaipur Pink Panthers,6,22,334
Telugu Titans,6,22,289
Puneri Paltan,6,22,286
