team_name,Season,matches_played,successful-tackles
Puneri Paltan,7,20,207
Jaipur Pink Panthers,7,20,189
Gujarat Fortunegiants,7,20,187
Bengal Warriors,7,20,182
Dabang Delhi K.C.,7,20,181
Haryana Steelers,7,19,181
U.P. Yoddha,7,18,177
Bengaluru Bulls,7,19,168
U Mumba,7,19,168
Patna Pirates,7,19,168
Telugu Titans,7,18,162
Tamil Thalaivas,7,20,160
