team_name,Season,matches_played,successful-tackles
Jaipur Pink Panthers,1,16,158
Bengaluru Bulls,1,16,153
U Mumba,1,16,145
Patna Pirates,1,16,124
Dabang Delhi K.C.,1,14,124
Bengal Warriors,1,14,106
Telugu Titans,1,14,96
Puneri Paltan,1,14,93
