team_name,Season,matches_played,raid-points
Puneri Paltan,4,16,290
Jaipur Pink Panthers,4,16,270
Telugu Titans,4,16,267
Patna Pirates,4,16,264
U Mumba,4,14,227
Dabang Delhi K.C.,4,14,226
Bengal Warriors,4,14,202
Bengaluru Bulls,4,14,201
