player_name,season,matches_played,team,super-raids
Rahul Chaudhari,1,16,telugu-titans,6
Ajay Thakur,1,16,puneri-paltan,5
Meraj Sheykh,1,14,dabang-delhi-kc,4
Pardeep Narwal,1,16,patna-pirates,3
Rohit Kumar,1,14,bengaluru-bulls,3
Kashiling Adake,1,13,dabang-delhi-kc,3
Rajesh Narwal,1,16,jaipur-pink-panthers,3
Rishank Devadiga,1,14,u-mumba,2
Jang Kun Lee,1,11,bengal-warriors,2
Deepak Niwas Hooda,1,16,puneri-paltan,2
Prashanth Kumar Rai,1,9,dabang-delhi-kc,2
Abolfazl Maghsodloumahali,1,9,patna-pirates,2
Nitin Tomar,1,12,puneri-paltan,1
Selvamani K,1,13,dabang-delhi-kc,1
Nilesh Salunke,1,15,telugu-titans,1
Deepak Kumar Dahiya,1,7,bengaluru-bulls,1
Deepak Narwal,1,6,dabang-delhi-kc,1
Ajay Kumar,1,15,jaipur-pink-panthers,1
Anup Kumar,1,14,u-mumba,1
Mahipal Narwal,1,14,jaipur-pink-panthers,1
Manjeet Chhillar,1,12,puneri-paltan,1
Nitin Madane,1,13,bengal-warriors,1
Shabeer Bappu,1,12,jaipur-pink-panthers,1
CPO Surjeet Singh,1,10,patna-pirates,1
Parmod Narwal,1,8,puneri-paltan,1
Rakesh Kumar,1,14,u-mumba,1
Ravi Dalal,1,6,bengal-warriors,1
Rajesh Mondal,1,15,patna-pirates,1
