player_name,season,matches_played,team,total-points
Pardeep Narwal,1,26,patna-pirates,369
Rohit Kumar,1,22,bengaluru-bulls,231
Ajay Thakur,1,22,tamil-thalaivas,222
Monu Goyat,1,26,patna-pirates,202
Rahul Chaudhari,1,22,telugu-titans,193
Maninder Singh,1,21,bengal-warriors,192
Deepak Niwas Hooda,1,24,puneri-paltan,186
Nitin Tomar,1,20,up-yoddha,177
Sachin,1,24,gujarat-fortunegiants,173
Rishank Devadiga,1,21,up-yoddha,170
Anup Kumar,1,21,u-mumba,135
K. Prapanjan,1,22,tamil-thalaivas,124
Pawan Kumar Kadian,1,21,jaipur-pink-panthers,122
Kashiling Adake,1,20,u-mumba,122
Wazir Singh,1,21,haryana-steelers,120
Nilesh Salunke,1,21,telugu-titans,105
Meraj Sheykh,1,20,dabang-delhi-kc,104
Shrikant Jadhav,1,19,u-mumba,98
Abolfazl Maghsodloumahali,1,19,dabang-delhi-kc,97
Rajesh Mondal,1,24,puneri-paltan,91
Jang Kun Lee,1,21,bengal-warriors,89
Ajay Kumar,1,22,bengaluru-bulls,89
Deepak Narwal,1,16,bengal-warriors,87
Sandeep Narwal,1,21,puneri-paltan,85
Nitin Rawal,1,21,jaipur-pink-panthers,85
Surender Nada,1,21,haryana-steelers,83
Prashanth Kumar Rai,1,16,haryana-steelers,80
PO Surjeet Singh,1,24,bengal-warriors,79
Deepak Kumar Dahiya,1,16,haryana-steelers,78
Sukesh Hegde,1,18,gujarat-fortunegiants,77
Rohit Baliyan,1,17,dabang-delhi-kc,74
Vishal Bhardwaj,1,22,telugu-titans,71
Jaideep,1,26,patna-pirates,71
Surender Singh,1,18,up-yoddha,70
Girish Maruti Ernak,1,21,puneri-paltan,69
Tushar Patil,1,17,jaipur-pink-panthers,67
Jasvir Singh,1,15,jaipur-pink-panthers,66
Abozar Mohajermighani,1,24,gujarat-fortunegiants,66
Ran Singh,1,23,bengal-warriors,64
Vijay,1,19,patna-pirates,64
CPO Surjeet Singh,1,17,haryana-steelers,63
Mahendra Ganesh Rajput,1,17,gujarat-fortunegiants,62
Amit Hooda,1,22,tamil-thalaivas,61
Vikash Khandola,1,9,haryana-steelers,58
Sunil Kumar,1,24,gujarat-fortunegiants,58
Surender Singh,1,22,u-mumba,58
Mahender Singh,1,22,bengaluru-bulls,58
Fazel Atrachali,1,24,gujarat-fortunegiants,57
Ravinder Pahal,1,19,bengaluru-bulls,54
Manjeet Chhillar,1,15,jaipur-pink-panthers,52
Chandran Ranjit,1,11,gujarat-fortunegiants,51
Monu,1,19,puneri-paltan,49
Vinod Kumar,1,21,patna-pirates,48
Parvesh Bhainswal,1,24,gujarat-fortunegiants,48
Kuldeep Singh,1,20,u-mumba,47
Mohsen Maghsoudloujafari,1,16,telugu-titans,47
Nitesh Kumar,1,19,up-yoddha,47
Jeeva Kumar,1,22,up-yoddha,44
Mohit Chhillar,1,20,haryana-steelers,42
Mahesh Goud,1,21,up-yoddha,42
Vinod Kumar,1,19,bengal-warriors,41
Darshan J.,1,20,tamil-thalaivas,41
Darshan Kadian,1,16,u-mumba,40
Shrikant Tewthia,1,23,bengal-warriors,40
Vishal Mane,1,26,patna-pirates,39
Sombir,1,17,telugu-titans,39
Rohit Gulia,1,19,gujarat-fortunegiants,38
Shabeer Bappu,1,12,u-mumba,38
C. Arun,1,20,tamil-thalaivas,36
R. Sriram,1,11,dabang-delhi-kc,36
Jawahar Dagar,1,18,patna-pirates,35
Vikas Kumar,1,14,telugu-titans,35
Anand Patil,1,19,dabang-delhi-kc,33
Sagar B Krishna,1,17,up-yoddha,33
Ashish Kumar,1,20,bengaluru-bulls,32
Kuldeep Singh,1,16,bengaluru-bulls,32
Sunil Jaipal,1,13,bengaluru-bulls,31
Sidharth,1,21,jaipur-pink-panthers,31
Vineet Sharma,1,18,tamil-thalaivas,30
Somvir Shekhar,1,22,jaipur-pink-panthers,30
Ravi Kumar,1,23,puneri-paltan,30
Dong Geon Lee,1,17,tamil-thalaivas,29
D. Pradap,1,16,tamil-thalaivas,29
Farhad Rahimi Milaghardan,1,18,telugu-titans,28
Bhupender Singh,1,17,bengal-warriors,28
Satpal,1,10,dabang-delhi-kc,28
Rajesh Narwal,1,16,up-yoddha,27
Vikash,1,19,haryana-steelers,26
Dharmaraj Cheralathan,1,18,puneri-paltan,25
Sunil,1,18,dabang-delhi-kc,25
Harish Naik,1,14,bengaluru-bulls,24
Gurvinder Singh,1,9,bengaluru-bulls,24
Nilesh Shinde,1,15,dabang-delhi-kc,24
Rohit Rana,1,21,telugu-titans,24
Rakesh Singh Kumar,1,19,haryana-steelers,24
Rakesh Kumar,1,10,telugu-titans,23
Ajit Singh,1,11,jaipur-pink-panthers,23
Sachin Shingade,1,26,patna-pirates,22
Manish,1,23,patna-pirates,22
Suresh Kumar,1,11,puneri-paltan,22
Rinku Narwal,1,13,puneri-paltan,22
Akshay Jadhav,1,10,puneri-paltan,21
Ziaur Rahman,1,16,puneri-paltan,20
Hadi Oshtorak,1,16,u-mumba,20
Rakesh Narwal,1,6,gujarat-fortunegiants,18
Sunil Siddhgavali,1,12,jaipur-pink-panthers,16
Pankaj,1,13,up-yoddha,16
Elangeshwaran R,1,5,telugu-titans,16
M. Thivakaran,1,9,tamil-thalaivas,16
Viraj Vishnu Landge,1,19,dabang-delhi-kc,16
More GB,1,6,puneri-paltan,16
Santhapanaselvam,1,10,jaipur-pink-panthers,15
Rakshith,1,6,telugu-titans,14
Neeraj Kumar,1,17,haryana-steelers,13
Rohit Kumar Choudary,1,11,puneri-paltan,13
Swapnil Dilip Shinde,1,13,dabang-delhi-kc,13
Vikas Jaglan,1,13,patna-pirates,13
Nitin Madane,1,12,u-mumba,13
Santhosh B.S,1,9,up-yoddha,12
Ashish Chhokar,1,5,haryana-steelers,12
N. Renjith,1,11,u-mumba,12
Bajirao Hodage,1,12,dabang-delhi-kc,11
Vishal,1,5,dabang-delhi-kc,11
Yatharth Deshwal,1,6,dabang-delhi-kc,11
Pawan Kumar Sehrawat,1,9,gujarat-fortunegiants,10
Hadi Tajik,1,9,up-yoddha,9
Tapas Pal,1,5,dabang-delhi-kc,9
Joginder Singh Narwal,1,8,u-mumba,9
D. Suresh Kumar,1,5,u-mumba,8
Ravi Dalal,1,5,dabang-delhi-kc,8
Mohan Raman G,1,4,u-mumba,8
Virender Wazir Singh,1,3,bengal-warriors,8
Deepak Yadav,1,4,u-mumba,8
Kuldeep Singh,1,5,haryana-steelers,8
Deepak Kumar Rathee,1,6,haryana-steelers,7
Shubham Ashok Palkar,1,8,dabang-delhi-kc,7
Preetam Chhillar,1,16,bengaluru-bulls,7
Sachin Kumar,1,9,bengaluru-bulls,7
Manoj Dhull,1,9,jaipur-pink-panthers,6
Vinoth Kumar,1,4,telugu-titans,6
Mayur Shivtarkar,1,5,haryana-steelers,6
Rahul Kumar,1,10,bengal-warriors,6
Rahul Choudhary,1,5,jaipur-pink-panthers,6
Vijay Kumar,1,8,tamil-thalaivas,6
Vikash,1,4,bengal-warriors,5
Gurvinder Singh,1,5,up-yoddha,5
Jeeva Gopal,1,6,haryana-steelers,5
Vijin Thangadurai,1,12,tamil-thalaivas,4
Selvamani K,1,3,jaipur-pink-panthers,4
Sanket Chavan,1,7,tamil-thalaivas,4
Rohit,1,2,bengaluru-bulls,4
Vikrant,1,3,telugu-titans,3
Muruthu M,1,3,tamil-thalaivas,3
Satish,1,10,patna-pirates,3
Tushar Balaram Bhoir,1,8,dabang-delhi-kc,3
Sanoj Kumar,1,2,up-yoddha,3
Gulveer Singh,1,4,up-yoddha,3
Bhavani Rajput,1,4,tamil-thalaivas,3
E Subash,1,2,u-mumba,3
Rohit Kumar,1,7,up-yoddha,3
Young Chang Ko,1,14,bengal-warriors,2
Kuldeep,1,5,bengal-warriors,2
Ravindra Ramesh Kumawat,1,2,bengal-warriors,2
Anil Kumar,1,5,tamil-thalaivas,2
David Shilisia J Mosambayi,1,2,haryana-steelers,2
Shashank Wankhede,1,3,bengal-warriors,2
Suresu Kumar,1,3,dabang-delhi-kc,2
Parmod Narwal,1,6,haryana-steelers,2
Vinod Kumar,1,4,telugu-titans,2
Babu M,1,2,haryana-steelers,2
Munish,1,3,telugu-titans,1
Anil Kumar,1,2,bengal-warriors,1
Dong Ju Hong,1,3,u-mumba,1
Manoj Kumar,1,5,gujarat-fortunegiants,1
Rupesh Tomar,1,1,dabang-delhi-kc,1
Anil Kumar,1,5,tamil-thalaivas,1
Umesh Mhatre,1,5,puneri-paltan,1
Ravinder Kumar,1,1,jaipur-pink-panthers,1
Yong Joo Ok,1,1,u-mumba,1
Ajvender Singh,1,2,up-yoddha,1
Vishnu Uthaman,1,3,patna-pirates,1
