team_name,Season,matches_played,avg-raid
Puneri Paltan,4,16,18.13
Jaipur Pink Panthers,4,16,16.88
Telugu Titans,4,16,16.69
Patna Pirates,4,16,16.5
U Mumba,4,14,16.21
Dabang Delhi K.C.,4,14,16.14
Bengal Warriors,4,14,14.43
Bengaluru Bulls,4,14,14.36
