team_name,Season,matches_played,super-tackles
Puneri Paltan,6,22,34
Telugu Titans,6,22,33
U.P. Yoddha,6,25,27
Jaipur Pink Panthers,6,22,25
Dabang Delhi K.C.,6,24,19
Gujarat Fortunegiants,6,25,18
Patna Pirates,6,22,16
Bengal Warriors,6,23,16
U Mumba,6,23,15
Haryana Steelers,6,22,15
Tamil Thalaivas,6,22,15
Bengaluru Bulls,6,24,12
