team_name,Season,matches_played,avg-tackle
U Mumba,2,16,12.25
Telugu Titans,2,16,10.75
Patna Pirates,2,16,10.25
Bengaluru Bulls,2,16,10.25
Jaipur Pink Panthers,2,14,10.14
Bengal Warriors,2,14,9.71
Dabang Delhi K.C.,2,14,9.71
Puneri Paltan,2,14,8.14
