team_name,Season,matches_played,tackle-points
U Mumba,2,16,196
Telugu Titans,2,16,172
Patna Pirates,2,16,164
Bengaluru Bulls,2,16,164
Jaipur Pink Panthers,2,14,142
Bengal Warriors,2,14,136
Dabang Delhi K.C.,2,14,136
Puneri Paltan,2,14,114
