team_name,Season,matches_played,raid-points
Telugu Titans,2,16,344
Bengaluru Bulls,2,16,252
U Mumba,2,16,237
Jaipur Pink Panthers,2,14,232
Patna Pirates,2,16,228
Puneri Paltan,2,14,223
Dabang Delhi K.C.,2,14,217
Bengal Warriors,2,14,184
