team_name,Season,matches_played,successful-raids
Patna Pirates,0,131,2066
Telugu Titans,0,122,1843
Bengaluru Bulls,0,125,1810
U Mumba,0,126,1803
Bengal Warriors,0,125,1786
Dabang Delhi K.C.,0,122,1783
Jaipur Pink Panthers,0,124,1688
Puneri Paltan,0,126,1687
Gujarat Fortunegiants,0,69,992
Haryana Steelers,0,64,978
Tamil Thalaivas,0,64,970
U.P. Yoddha,0,66,938
