Season,Matches Played,wins,draws,losses,Finishing Position,highest score,Biggest Winning Margin,Total Raids,Successful Raids,unsuccessful raid,empty raids,success raid %,no. of super raids,raid touch points,raid bonus points,Total Raid Points,Total Tackles,successful tackles,unsuccesful tackles,successful tackle %,no. of super tackles,all outs inflicted,total all out points,total defence points,team_name
0,64,31,7,26,0,47,22,2770,978,610,1182,44,38,936,292,1228,1581,567,1014,39,50,70,140,615,Haryana Steelers
5,23,13,4,6,3,42,18,1030,327,206,497,39,12,324,80,404,544,206,338,42,21,27,54,227,Haryana Steelers
6,22,6,2,14,6,43,11,941,361,361,350,48,12,306,141,447,562,180,382,34,15,16,32,193,Haryana Steelers
7,19,12,1,6,3,47,22,799,799,174,335,47,14,306,71,377,475,181,294,41,14,27,54,195,Haryana Steelers
0,69,40,7,22,0,50,29,2948,992,677,1279,41,26,986,219,1205,1500,687,813,49,47,93,186,731,Gujarat Fortunegiants
5,24,16,3,5,1,45,25,1055,335,211,509,38,11,346,59,405,497,242,255,51,12,36,72,254,Gujarat Fortunegiants
6,25,18,2,5,1,47,18,1072,392,392,434,45,10,385,95,480,586,258,328,47,18,36,72,274,Gujarat Fortunegiants
7,20,6,2,12,8,50,29,821,821,220,336,39,5,255,65,320,417,187,230,49,17,21,42,203,Gujarat Fortunegiants
0,122,46,9,67,0,60,23,5159,1783,1171,2205,43,62,1698,527,2225,2891,998,1893,38,96,141,282,1087,Dabang Delhi K.C.
1,14,5,1,8,6,46,23,559,246,139,174,51,5,228,57,285,370,124,246,36,10,18,36,134,Dabang Delhi K.C.
2,14,4,1,9,6,45,19,585,159,151,275,37,14,174,43,217,333,122,211,41,14,13,26,136,Dabang Delhi K.C.
3,14,1,1,12,8,36,14,614,171,162,281,38,5,175,58,233,346,98,248,32,13,9,18,111,Dabang Delhi K.C.
4,14,4,1,9,7,41,21,619,162,120,337,37,11,170,56,226,306,116,190,44,20,15,30,134,Dabang Delhi K.C.
5,22,5,1,16,6,38,8,973,283,214,476,35,6,260,84,344,497,159,338,34,12,18,36,169,Dabang Delhi K.C.
6,24,12,2,10,3,48,13,997,401,224,372,48,13,367,116,483,559,198,361,39,19,34,68,216,Dabang Delhi K.C.
7,20,15,2,3,1,60,20,812,361,161,290,54,8,324,113,437,480,181,299,39,8,34,68,187,Dabang Delhi K.C.
0,125,58,8,59,0,64,40,5327,1810,1245,2272,43,63,1811,475,2286,2740,1086,1654,43,93,152,304,1172,Bengaluru Bulls
1,16,8,1,7,3,47,19,647,225,172,250,45,7,244,47,291,353,153,200,46,10,20,40,163,Bengaluru Bulls
2,16,10,0,6,3,43,19,730,194,163,373,35,10,222,30,252,341,158,183,48,7,25,50,164,Bengaluru Bulls
3,14,2,0,12,7,36,10,603,158,148,297,35,9,181,28,209,291,94,197,34,7,12,24,100,Bengaluru Bulls
4,14,5,1,8,6,33,2,605,157,143,305,33,4,147,54,201,287,109,178,43,15,9,18,124,Bengaluru Bulls
5,22,8,3,11,4,64,40,943,336,195,412,42,5,294,99,393,480,185,295,42,17,28,56,200,Bengaluru Bulls
6,24,15,2,7,1,48,16,1005,431,211,363,54,20,428,119,547,550,219,331,42,12,37,74,230,Bengaluru Bulls
7,19,10,1,8,4,47,21,794,309,213,272,49,8,295,98,393,438,168,270,44,25,21,42,191,Bengaluru Bulls
0,125,56,15,54,0,48,31,5310,1786,1149,2375,42,70,1749,487,2236,2835,1025,1810,39,98,133,266,1118,Bengal Warriors
1,14,4,1,9,7,42,5,546,213,146,187,52,11,220,63,283,381,106,275,32,16,11,22,122,Bengal Warriors
2,14,4,1,9,6,39,3,595,134,151,310,31,9,151,33,184,306,116,190,44,21,10,20,136,Bengal Warriors
3,16,9,0,7,4,37,17,702,213,144,345,36,4,204,46,250,329,137,192,46,13,17,34,150,Bengal Warriors
4,14,3,2,9,8,34,8,602,167,125,310,34,4,154,48,202,318,117,201,39,8,11,22,125,Bengal Warriors
5,24,11,6,7,1,44,20,1079,379,223,477,42,11,333,122,455,521,181,340,37,12,27,54,193,Bengal Warriors
6,23,12,2,9,2,44,16,963,340,201,422,45,16,341,95,436,508,186,322,39,16,23,46,200,Bengal Warriors
7,20,13,3,4,2,48,31,823,340,159,324,52,15,346,80,426,472,182,290,41,12,34,68,192,Bengal Warriors
