team_name,Season,matches_played,all-outs
U Mumba,6,23,41
Bengaluru Bulls,6,24,37
Gujarat Fortunegiants,6,25,36
Dabang Delhi K.C.,6,24,34
Patna Pirates,6,22,30
U.P. Yoddha,6,25,26
Bengal Warriors,6,23,23
Jaipur Pink Panthers,6,22,22
Tamil Thalaivas,6,22,20
Telugu Titans,6,22,18
Haryana Steelers,6,22,16
Puneri Paltan,6,22,14
