player_name,season,matches_played,team,do-or
Maninder Singh,1,16,jaipur-pink-panthers,22
Ravi Dalal,1,16,patna-pirates,20
Wazir Singh,1,12,puneri-paltan,20
Kashiling Adake,1,14,dabang-delhi-kc,18
Sukesh Hegde,1,14,telugu-titans,15
Rajesh Narwal,1,16,jaipur-pink-panthers,14
Anup Kumar,1,16,u-mumba,13
Shabeer Bappu,1,10,u-mumba,11
Rajesh Mondal,1,15,bengaluru-bulls,11
Sandeep Narwal,1,16,patna-pirates,11
Jang Kun Lee,1,11,bengal-warriors,10
Jitesh Joshi,1,14,puneri-paltan,10
Jasvir Singh,1,15,jaipur-pink-panthers,9
Deepak Kumar Dahiya,1,7,bengaluru-bulls,9
Deepak Niwas Hooda,1,14,telugu-titans,8
Ajay Thakur,1,15,bengaluru-bulls,8
Rishank Devadiga,1,16,u-mumba,8
Surjeet Narwal,1,14,dabang-delhi-kc,8
Rahul Chaudhari,1,14,telugu-titans,8
Nitin Madane,1,12,bengal-warriors,8
Manjeet Chhillar,1,16,bengaluru-bulls,7
Rakesh Kumar,1,12,patna-pirates,6
Pawan Kumar Kadian,1,10,u-mumba,6
Mangesh Bhagat,1,8,puneri-paltan,6
Pravin Niwale,1,7,puneri-paltan,5
Mahesh Goud,1,13,bengal-warriors,5
Mahipal Narwal,1,5,puneri-paltan,5
Sunil Jaipal,1,13,bengal-warriors,3
Shrikant Tewthia,1,14,dabang-delhi-kc,3
Dharmaraj Cheralathan,1,16,bengaluru-bulls,3
Gurvinder Singh,1,7,patna-pirates,3
Jasmer Singh Gulia,1,14,dabang-delhi-kc,2
Balbir Singh,1,8,jaipur-pink-panthers,2
Ran Singh,1,10,jaipur-pink-panthers,2
Mahendra Ganesh Rajput,1,8,bengal-warriors,2
Suresu Kumar,1,3,u-mumba,1
Surender Nada,1,15,u-mumba,1
Parmod Narwal,1,16,bengaluru-bulls,1
Simon Kibura,1,4,puneri-paltan,1
Tae Deok Eom,1,9,patna-pirates,1
Waleed Al Hasani,1,6,puneri-paltan,1
Dovlet Boshimov,1,2,patna-pirates,1
Gangadhari Mallesh,1,10,jaipur-pink-panthers,1
Gurpreet Singh,1,16,bengaluru-bulls,1
Shyam Kumar Sah,1,13,bengal-warriors,1
Sachin Khambe,1,14,bengal-warriors,1
