team_name,Season,matches_played,avg-tackle
Puneri Paltan,5,24,11.29
Gujarat Fortunegiants,5,24,10.58
Haryana Steelers,5,23,9.87
Patna Pirates,5,26,9.69
Telugu Titans,5,22,9.41
U Mumba,5,22,9.18
Tamil Thalaivas,5,22,9.14
Bengaluru Bulls,5,22,9.09
U.P. Yoddha,5,23,8.74
Bengal Warriors,5,24,8.04
Jaipur Pink Panthers,5,22,7.77
Dabang Delhi K.C.,5,22,7.68
