team_name,Season,matches_played,avg-points
Telugu Titans,2,16,32.25
U Mumba,2,16,27.06
Jaipur Pink Panthers,2,14,26.71
Bengaluru Bulls,2,16,26
Dabang Delhi K.C.,2,14,25.21
Patna Pirates,2,16,24.5
Puneri Paltan,2,14,24.07
Bengal Warriors,2,14,22.85
