team_name,Season,matches_played,raid-points
Dabang Delhi K.C.,7,20,437
Bengal Warriors,7,20,426
Bengaluru Bulls,7,19,393
Haryana Steelers,7,19,377
Patna Pirates,7,19,368
Puneri Paltan,7,20,358
Tamil Thalaivas,7,20,344
Jaipur Pink Panthers,7,20,337
Telugu Titans,7,18,332
U Mumba,7,19,325
Gujarat Fortunegiants,7,20,320
U.P. Yoddha,7,18,289
