team_name,Season,matches_played,avg-points
Patna Pirates,5,26,34.19
U.P. Yoddha,5,23,28.78
U Mumba,5,22,28.22
Tamil Thalaivas,5,22,27.77
Telugu Titans,5,22,27.59
Gujarat Fortunegiants,5,24,27.45
Haryana Steelers,5,23,27.43
Puneri Paltan,5,24,27.08
Bengal Warriors,5,24,27
Bengaluru Bulls,5,22,26.95
Jaipur Pink Panthers,5,22,23.81
Dabang Delhi K.C.,5,22,23.31
