team_name,Season,matches_played,total-points
Puneri Paltan,4,16,491
Patna Pirates,4,16,466
Telugu Titans,4,16,454
Jaipur Pink Panthers,4,16,450
Bengal Warriors,4,14,438
U Mumba,4,14,418
Bengaluru Bulls,4,14,415
Dabang Delhi K.C.,4,14,412
