team_name,Season,matches_played,super-tackles
Patna Pirates,4,16,27
Dabang Delhi K.C.,4,14,20
Jaipur Pink Panthers,4,16,17
Bengaluru Bulls,4,14,15
U Mumba,4,14,11
Bengal Warriors,4,14,8
Puneri Paltan,4,16,7
Telugu Titans,4,16,5
