team_name,Season,matches_played,total-points
U.P. Yoddha,6,25,847
Patna Pirates,6,22,835
Dabang Delhi K.C.,6,24,824
Haryana Steelers,6,22,806
Jaipur Pink Panthers,6,22,780
Gujarat Fortunegiants,6,25,769
Bengaluru Bulls,6,24,766
Tamil Thalaivas,6,22,741
Bengal Warriors,6,23,734
Telugu Titans,6,22,702
Puneri Paltan,6,22,694
U Mumba,6,23,672
