team_name,Season,matches_played,successful-raids
Patna Pirates,3,16,241
Bengal Warriors,3,16,213
U Mumba,3,16,206
Telugu Titans,3,14,206
Puneri Paltan,3,16,203
Dabang Delhi K.C.,3,14,171
Bengaluru Bulls,3,14,158
Jaipur Pink Panthers,3,14,149
