team_name,Season,matches_played,successful-raids
Patna Pirates,5,26,487
Bengal Warriors,5,24,379
U.P. Yoddha,5,23,358
Tamil Thalaivas,5,22,351
Bengaluru Bulls,5,22,336
Gujarat Fortunegiants,5,24,335
Telugu Titans,5,22,332
Haryana Steelers,5,23,327
U Mumba,5,22,322
Puneri Paltan,5,24,304
Jaipur Pink Panthers,5,22,288
Dabang Delhi K.C.,5,22,283
