player_name,season,matches_played,team,raid-points
Naveen Kumar,1,20,dabang-delhi-kc,256
Pardeep Narwal,1,19,patna-pirates,243
Pawan Kumar Sehrawat,1,19,bengaluru-bulls,242
Maninder Singh,1,20,bengal-warriors,205
Siddharth Sirish Desai,1,18,telugu-titans,174
Vikash Kandola,1,16,haryana-steelers,153
Deepak Niwas Hooda,1,20,jaipur-pink-panthers,146
Abhishek Singh,1,17,u-mumba,118
Rohit Gulia,1,20,gujarat-fortunegiants,118
Rahul Chaudhari,1,20,tamil-thalaivas,118
Shrikant Jadhav,1,18,up-yoddha,114
Pankaj Mohite,1,16,puneri-paltan,110
V. Ajith Kumar,1,17,tamil-thalaivas,107
Chandran Ranjit,1,19,dabang-delhi-kc,106
Manjeet,1,20,puneri-paltan,104
K. Prapanjan,1,18,bengal-warriors,99
Vinay,1,19,haryana-steelers,92
Rohit Kumar,1,17,bengaluru-bulls,88
Sachin Tanwar,1,16,gujarat-fortunegiants,84
Arjun Deshwal,1,16,u-mumba,76
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,75
Prashanth Kumar Rai,1,13,haryana-steelers,58
Ajay Thakur,1,13,tamil-thalaivas,58
Naveen,1,14,haryana-steelers,56
Deepak Narwal,1,17,jaipur-pink-panthers,55
Nitin Tomar,1,13,puneri-paltan,54
Surender Gill,1,15,up-yoddha,54
Nilesh Salunke,1,17,jaipur-pink-panthers,53
Sonu Jaglan,1,15,gujarat-fortunegiants,52
Athul MS,1,15,u-mumba,51
Jang Kun Lee,1,13,patna-pirates,49
Rishank Devadiga,1,14,up-yoddha,46
Suraj Desai,1,12,telugu-titans,44
Rohit Baliyan,1,16,u-mumba,44
Rajnish,1,10,telugu-titans,43
Monu Goyat,1,10,up-yoddha,43
More GB,1,17,gujarat-fortunegiants,43
Vijay,1,19,dabang-delhi-kc,40
Sukesh Hegde,1,13,bengal-warriors,40
Sumit Singh,1,15,bengaluru-bulls,36
Nitin Rawal,1,15,jaipur-pink-panthers,32
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,31
Meraj Sheykh,1,13,dabang-delhi-kc,30
Pawan Kumar Kadian,1,6,puneri-paltan,25
Farhad Rahimi Milaghardan,1,18,telugu-titans,25
Rakesh Gowda,1,9,telugu-titans,22
Shabeer Bappu,1,14,tamil-thalaivas,22
Sushil Gulia,1,7,jaipur-pink-panthers,19
Ajinkya Ashok Pawar,1,14,jaipur-pink-panthers,19
Banty,1,11,bengaluru-bulls,18
Sandeep Narwal,1,19,u-mumba,18
Amit Kumar,1,13,puneri-paltan,17
Amit Kumar,1,6,puneri-paltan,16
Sushant Sail,1,9,puneri-paltan,12
Vikas Jaglan,1,19,patna-pirates,12
Dong Geon Lee,1,5,u-mumba,11
Sachin Narwal,1,12,jaipur-pink-panthers,11
Selvamani K,1,7,haryana-steelers,11
Monu,1,19,patna-pirates,11
Surender Singh,1,4,up-yoddha,10
Ran Singh,1,19,tamil-thalaivas,9
Vineet Sharma,1,11,tamil-thalaivas,9
Armaan,1,6,telugu-titans,9
Emad Sedaghatnia,1,2,puneri-paltan,8
Hadi Oshtorak,1,19,patna-pirates,8
Ankit Beniwal,1,6,telugu-titans,7
Darshan Kadian,1,7,puneri-paltan,7
Rakesh Narwal,1,2,bengal-warriors,6
Ankush,1,3,up-yoddha,6
Victor Onyango Obiero,1,3,tamil-thalaivas,6
Anand,1,5,tamil-thalaivas,6
Vinod Kumar,1,9,gujarat-fortunegiants,6
Azad Singh,1,4,up-yoddha,6
Amit Kumar,1,3,patna-pirates,5
Abolfazl Maghsodloumahali,1,6,gujarat-fortunegiants,5
Harmanjit Singh,1,4,gujarat-fortunegiants,5
Ashish,1,7,patna-pirates,5
Mohsen Maghsoudloujafari,1,11,up-yoddha,5
Mohit Sehrawat,1,13,bengaluru-bulls,5
Gurvinder Singh,1,2,gujarat-fortunegiants,4
Surinder Singh,1,19,u-mumba,4
Purna Singh,1,6,patna-pirates,4
Manjeet Chhillar,1,15,tamil-thalaivas,4
Aman Kadian,1,3,dabang-delhi-kc,3
Dharmaraj Cheralathan,1,17,haryana-steelers,3
Amit Kumar,1,9,telugu-titans,3
Balram,1,2,dabang-delhi-kc,2
Himanshu,1,3,tamil-thalaivas,2
C. Arun,1,18,telugu-titans,2
Arun Kumar HN,1,2,haryana-steelers,2
Ajay,1,9,bengaluru-bulls,2
Sumit,1,18,up-yoddha,2
Yashwant Bishnoi,1,3,tamil-thalaivas,2
Palle Mallikarjun,1,3,telugu-titans,2
Lalit Chaudhary,1,4,gujarat-fortunegiants,2
Fazel Atrachali,1,19,u-mumba,2
Amit,1,18,up-yoddha,2
PO Surjeet Singh,1,19,puneri-paltan,2
Chand Singh,1,9,haryana-steelers,1
Girish Maruti Ernak,1,15,puneri-paltan,1
Saurabh Nandal,1,18,bengaluru-bulls,1
Vikas Chhillar,1,1,haryana-steelers,1
Nitesh Kumar,1,18,up-yoddha,1
Sandeep Kumar Dhull,1,20,jaipur-pink-panthers,1
Amit Hooda,1,14,jaipur-pink-panthers,1
Ajinkya Rohidas Kapre,1,2,u-mumba,1
Hemant Chauhan,1,3,tamil-thalaivas,1
Hadi Tajik,1,12,puneri-paltan,1
Abozar Mohajermighani,1,18,telugu-titans,1
Shubham Shinde,1,13,puneri-paltan,1
Ravindra Ramesh Kumawat,1,3,bengal-warriors,1
Ashish Kumar,1,7,bengaluru-bulls,1
Sunil Kumar,1,18,gujarat-fortunegiants,1
