player_name,season,matches_played,team,super-raids
Pardeep Narwal,1,19,patna-pirates,12
Maninder Singh,1,20,bengal-warriors,6
Pawan Kumar Sehrawat,1,19,bengaluru-bulls,6
Vikash Kandola,1,16,haryana-steelers,6
Siddharth Sirish Desai,1,18,telugu-titans,6
Vinay,1,19,haryana-steelers,6
K. Prapanjan,1,18,bengal-warriors,4
Pankaj Mohite,1,16,puneri-paltan,4
Chandran Ranjit,1,19,dabang-delhi-kc,3
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,3
Sonu Jaglan,1,15,gujarat-fortunegiants,3
Arjun Deshwal,1,16,u-mumba,2
Naveen Kumar,1,20,dabang-delhi-kc,2
Abhishek Singh,1,17,u-mumba,2
Vijay,1,19,dabang-delhi-kc,2
Manjeet,1,20,puneri-paltan,2
Rohit Kumar,1,17,bengaluru-bulls,2
Rohit Baliyan,1,16,u-mumba,2
Deepak Niwas Hooda,1,20,jaipur-pink-panthers,2
Rishank Devadiga,1,14,up-yoddha,2
Shrikant Jadhav,1,18,up-yoddha,2
Sukesh Hegde,1,13,bengal-warriors,2
Ajay Thakur,1,13,tamil-thalaivas,2
Sushil Gulia,1,7,jaipur-pink-panthers,2
Amit Kumar,1,3,patna-pirates,1
V. Ajith Kumar,1,17,tamil-thalaivas,1
Meraj Sheykh,1,13,dabang-delhi-kc,1
Suraj Desai,1,12,telugu-titans,1
Selvamani K,1,7,haryana-steelers,1
Nilesh Salunke,1,17,jaipur-pink-panthers,1
Rohit Gulia,1,20,gujarat-fortunegiants,1
Surinder Singh,1,19,u-mumba,1
Nitin Rawal,1,15,jaipur-pink-panthers,1
Sachin Tanwar,1,16,gujarat-fortunegiants,1
Surender Gill,1,15,up-yoddha,1
Rajnish,1,10,telugu-titans,1
Armaan,1,6,telugu-titans,1
Anand,1,5,tamil-thalaivas,1
Naveen,1,14,haryana-steelers,1
Sachin Narwal,1,12,jaipur-pink-panthers,1
