player_name,season,matches_played,team,high-5s
Baldev Singh,1,20,bengal-warriors,6
Sumit,1,18,up-yoddha,5
Saurabh Nandal,1,18,bengaluru-bulls,5
Sandeep Kumar Dhull,1,20,jaipur-pink-panthers,5
PO Surjeet Singh,1,19,puneri-paltan,5
Vishal Bhardwaj,1,18,telugu-titans,5
Sunil Kumar,1,18,gujarat-fortunegiants,4
Parvesh Bhainswal,1,20,gujarat-fortunegiants,4
Neeraj Kumar,1,19,patna-pirates,3
Nitesh Kumar,1,18,up-yoddha,3
Mahender Singh,1,16,bengaluru-bulls,3
Jaideep,1,19,patna-pirates,3
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,3
Sunil,1,17,haryana-steelers,3
Amit Sheoran,1,19,bengaluru-bulls,3
Rinku Narwal,1,20,bengal-warriors,3
Ravi Kumar,1,17,haryana-steelers,3
Ravinder Pahal,1,20,dabang-delhi-kc,3
Manjeet Chhillar,1,15,tamil-thalaivas,2
Vikas Kale,1,18,haryana-steelers,2
Amit Hooda,1,14,jaipur-pink-panthers,2
Surinder Singh,1,19,u-mumba,2
Fazel Atrachali,1,19,u-mumba,2
Pankaj,1,9,gujarat-fortunegiants,1
Vishal,1,14,jaipur-pink-panthers,1
Nitin Rawal,1,15,jaipur-pink-panthers,1
Harendra Kumar,1,17,u-mumba,1
Mohit Sehrawat,1,13,bengaluru-bulls,1
Dharmaraj Cheralathan,1,17,haryana-steelers,1
C. Arun,1,18,telugu-titans,1
Joginder Singh Narwal,1,20,dabang-delhi-kc,1
Mohit Chhillar,1,18,tamil-thalaivas,1
Sandeep Narwal,1,19,u-mumba,1
Girish Maruti Ernak,1,15,puneri-paltan,1
Hadi Oshtorak,1,19,patna-pirates,1
Sagar B Krishna,1,12,puneri-paltan,1
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,1
Abozar Mohajermighani,1,18,telugu-titans,1
