team_name,Season,matches_played,all-outs
Bengaluru Bulls,4,14,21
U Mumba,4,14,21
Puneri Paltan,4,16,17
Dabang Delhi K.C.,4,14,16
Bengal Warriors,4,14,15
Jaipur Pink Panthers,4,16,14
Telugu Titans,4,16,13
Patna Pirates,4,16,12
