team_name,Season,matches_played,all-outs
Jaipur Pink Panthers,1,16,29
Telugu Titans,1,14,25
U Mumba,1,16,21
Bengaluru Bulls,1,16,20
Dabang Delhi K.C.,1,14,18
Patna Pirates,1,16,18
Puneri Paltan,1,14,12
Bengal Warriors,1,14,11
