team_name,Season,matches_played,successful-tackles
Patna Pirates,3,16,175
Puneri Paltan,3,16,174
U Mumba,3,16,163
Bengal Warriors,3,16,137
Jaipur Pink Panthers,3,14,101
Telugu Titans,3,14,101
Dabang Delhi K.C.,3,14,98
Bengaluru Bulls,3,14,94
