team_name,Season,matches_played,all-outs
Puneri Paltan,7,20,33
Tamil Thalaivas,7,20,30
Bengaluru Bulls,7,19,24
Jaipur Pink Panthers,7,20,23
Patna Pirates,7,19,23
Telugu Titans,7,18,22
U.P. Yoddha,7,18,22
Gujarat Fortunegiants,7,20,22
Haryana Steelers,7,19,21
U Mumba,7,19,21
Dabang Delhi K.C.,7,20,18
Bengal Warriors,7,20,17
