team_name,Season,matches_played,successful-raids
Telugu Titans,1,14,272
U Mumba,1,16,270
Jaipur Pink Panthers,1,16,270
Patna Pirates,1,16,253
Dabang Delhi K.C.,1,14,246
Bengaluru Bulls,1,16,225
Bengal Warriors,1,14,213
Puneri Paltan,1,14,204
