player_name,season,matches_played,team,raid-points
Pardeep Narwal,1,104,patna-pirates,1101
Rahul Chaudhari,1,120,tamil-thalaivas,943
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,856
Ajay Thakur,1,115,tamil-thalaivas,790
Maninder Singh,1,79,bengal-warriors,731
Rohit Kumar,1,89,bengaluru-bulls,664
Rishank Devadiga,1,117,up-yoddha,595
Pawan Kumar Sehrawat,1,75,bengaluru-bulls,578
Kashiling Adake,1,92,bengaluru-bulls,561
Anup Kumar,1,91,jaipur-pink-panthers,527
Jang Kun Lee,1,103,patna-pirates,460
Monu Goyat,1,69,up-yoddha,453
Sachin Tanwar,1,63,gujarat-fortunegiants,433
Nitin Tomar,1,66,puneri-paltan,431
Naveen Kumar,1,42,dabang-delhi-kc,428
Siddharth Sirish Desai,1,39,telugu-titans,392
Sukesh Hegde,1,97,bengal-warriors,392
Vikash Kandola,1,51,haryana-steelers,386
Jasvir Singh,1,77,tamil-thalaivas,380
Prashanth Kumar Rai,1,94,haryana-steelers,370
K. Prapanjan,1,81,bengal-warriors,363
Shrikant Jadhav,1,72,up-yoddha,358
Meraj Sheykh,1,95,dabang-delhi-kc,339
Chandran Ranjit,1,61,dabang-delhi-kc,316
Deepak Narwal,1,81,jaipur-pink-panthers,311
Nilesh Salunke,1,79,jaipur-pink-panthers,303
Rajesh Narwal,1,92,dabang-delhi-kc,284
Wazir Singh,1,47,haryana-steelers,278
Pawan Kumar Kadian,1,74,puneri-paltan,277
Rohit Baliyan,1,68,u-mumba,269
Rajesh Mondal,1,89,puneri-paltan,260
Sandeep Narwal,1,120,u-mumba,247
Manjeet Chhillar,1,108,tamil-thalaivas,224
Shabeer Bappu,1,74,tamil-thalaivas,213
Rohit Gulia,1,58,gujarat-fortunegiants,211
Manjeet,1,42,puneri-paltan,191
Rakesh Kumar,1,55,telugu-titans,186
Ajay Kumar,1,50,gujarat-fortunegiants,182
Deepak Kumar Dahiya,1,53,puneri-paltan,181
Mahendra Ganesh Rajput,1,62,gujarat-fortunegiants,180
CPO Surjeet Singh,1,48,tamil-thalaivas,176
Ravi Dalal,1,38,dabang-delhi-kc,173
Abhishek Singh,1,32,u-mumba,165
Nitin Madane,1,37,u-mumba,165
Mahesh Goud,1,65,bengal-warriors,165
Surjeet Narwal,1,31,bengal-warriors,160
Selvamani K,1,56,haryana-steelers,150
Naveen,1,35,haryana-steelers,144
Abolfazl Maghsodloumahali,1,47,gujarat-fortunegiants,144
Sonu Narwal,1,33,puneri-paltan,138
Surender Singh,1,48,up-yoddha,136
More GB,1,45,gujarat-fortunegiants,136
Tushar Patil,1,53,patna-pirates,135
Vijay,1,59,dabang-delhi-kc,127
Nitin Rawal,1,45,jaipur-pink-panthers,122
Athul MS,1,38,u-mumba,114
Pankaj Mohite,1,16,puneri-paltan,110
V. Ajith Kumar,1,17,tamil-thalaivas,107
Ran Singh,1,118,tamil-thalaivas,99
Rohit Kumar Choudary,1,38,up-yoddha,93
Vinay,1,19,haryana-steelers,92
Ajinkya Ashok Pawar,1,31,jaipur-pink-panthers,90
Darshan Kadian,1,39,puneri-paltan,89
Sunil Jaipal,1,38,bengaluru-bulls,87
Gurvinder Singh,1,45,gujarat-fortunegiants,82
Arjun Deshwal,1,19,u-mumba,80
Shrikant Tewthia,1,71,bengal-warriors,78
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,75
Mohsen Maghsoudloujafari,1,46,up-yoddha,75
Monu,1,52,patna-pirates,75
Dong Geon Lee,1,33,u-mumba,71
Bhupender Singh,1,47,bengal-warriors,71
Pravin Niwale,1,17,dabang-delhi-kc,62
Vinod Kumar,1,47,gujarat-fortunegiants,62
Kuldeep Singh,1,66,patna-pirates,59
Mahipal Narwal,1,34,gujarat-fortunegiants,57
Sumit Singh,1,32,bengaluru-bulls,54
Surender Gill,1,15,up-yoddha,54
Jitesh Joshi,1,19,puneri-paltan,53
Rakesh Narwal,1,26,bengal-warriors,53
Farhad Rahimi Milaghardan,1,58,telugu-titans,53
Sonu Jaglan,1,15,gujarat-fortunegiants,52
Rajnish,1,14,telugu-titans,52
Vinod Kumar,1,29,bengaluru-bulls,52
Amit Om Prakash Rathi,1,16,gujarat-fortunegiants,46
Anand Patil,1,26,jaipur-pink-panthers,46
Ashish Kumar,1,83,bengaluru-bulls,46
Harish Naik,1,21,bengaluru-bulls,45
Suraj Desai,1,12,telugu-titans,44
Vikas Jaglan,1,46,patna-pirates,43
Dharmaraj Cheralathan,1,116,haryana-steelers,43
Ravindra Ramesh Kumawat,1,19,bengal-warriors,42
Vineet Sharma,1,41,tamil-thalaivas,41
Akshay Jadhav,1,29,puneri-paltan,37
R. Sriram,1,15,puneri-paltan,35
Yogesh Hooda,1,21,dabang-delhi-kc,35
Ajit Singh,1,17,jaipur-pink-panthers,32
Suresu Kumar,1,21,dabang-delhi-kc,31
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,31
Vikas Kumar,1,14,telugu-titans,30
Vinoth Kumar,1,17,u-mumba,30
Mangesh Bhagat,1,8,puneri-paltan,27
Azad Singh,1,13,up-yoddha,27
Rakshith,1,17,telugu-titans,26
Sachin Kumar,1,46,up-yoddha,26
Manoj Kumar,1,52,gujarat-fortunegiants,25
Amit Kumar,1,19,puneri-paltan,25
Pradeep Kumar,1,10,u-mumba,24
Manpreet Singh,1,13,patna-pirates,24
Suresh Kumar,1,11,puneri-paltan,22
Armaan,1,10,telugu-titans,22
Rakesh Gowda,1,9,telugu-titans,22
Parmod Narwal,1,35,haryana-steelers,21
Ashish Chhokar,1,12,bengal-warriors,21
Surender Nada,1,71,haryana-steelers,21
Sushil Gulia,1,7,jaipur-pink-panthers,19
Gangadhari Mallesh,1,36,jaipur-pink-panthers,19
Umesh Mhatre,1,13,puneri-paltan,19
Dinesh Kumar,1,8,bengal-warriors,19
Banty,1,11,bengaluru-bulls,18
Kalimuthu Balamahendran,1,23,telugu-titans,18
D. Pradap,1,29,tamil-thalaivas,18
Nilesh Shinde,1,69,dabang-delhi-kc,18
Shyam Kumar Sah,1,27,bengal-warriors,17
Amit Nagar,1,12,bengal-warriors,17
Amit Kumar,1,6,puneri-paltan,16
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,15
Sanjay Kumar,1,8,patna-pirates,15
Hadi Oshtorak,1,69,patna-pirates,15
Preetam Chhillar,1,58,bengaluru-bulls,15
Waleed Al Hasani,1,6,puneri-paltan,14
Virender Wazir Singh,1,7,bengal-warriors,14
Anand,1,8,tamil-thalaivas,14
Tae Deok Eom,1,35,patna-pirates,14
M. Thivakaran,1,9,tamil-thalaivas,14
Sachin Vittala,1,26,gujarat-fortunegiants,14
Mohammad Maghshoudulu,1,18,patna-pirates,14
Ravinder Pahal,1,109,dabang-delhi-kc,14
Kamal Singh,1,11,telugu-titans,13
Victor Onyango Obiero,1,6,tamil-thalaivas,12
Elangeshwaran R,1,5,telugu-titans,12
Sushant Sail,1,9,puneri-paltan,12
Amit Kumar,1,17,jaipur-pink-panthers,12
Kedar Lal,1,10,bengal-warriors,12
Sandeep Kandola,1,16,telugu-titans,11
Isac Antony,1,9,telugu-titans,11
Sachin Narwal,1,12,jaipur-pink-panthers,11
C Manoj Kumar,1,12,telugu-titans,10
Balbir Singh,1,10,jaipur-pink-panthers,10
Amit Hooda,1,86,jaipur-pink-panthers,10
Girish Maruti Ernak,1,104,puneri-paltan,10
Simon Kibura,1,9,bengal-warriors,9
Bhanu Pratap Tomar,1,6,up-yoddha,9
Jawahar Dagar,1,46,patna-pirates,9
Shubham Ashok Palkar,1,12,gujarat-fortunegiants,9
Deepak Kumar Rathee,1,20,haryana-steelers,9
Mayur Shivtarkar,1,30,bengal-warriors,9
PO Surjeet Singh,1,92,puneri-paltan,9
Mohan Raman G,1,4,u-mumba,8
Emad Sedaghatnia,1,2,puneri-paltan,8
Ravi V.,1,2,puneri-paltan,8
Anil Kashinath Patil,1,5,jaipur-pink-panthers,8
Anand Surendra Tomar,1,5,haryana-steelers,8
Sandeep,1,6,puneri-paltan,7
Mahesh Maruti Magdum,1,4,bengaluru-bulls,7
Ankit Beniwal,1,7,telugu-titans,7
Jasmer Singh Gulia,1,52,bengaluru-bulls,7
Parvesh,1,6,puneri-paltan,7
Mohit Chhillar,1,109,tamil-thalaivas,7
Ankush,1,3,up-yoddha,6
Bhuvneshwar Gaur,1,6,haryana-steelers,6
David Shilisia J Mosambayi,1,7,jaipur-pink-panthers,6
Vikash Kumar,1,6,u-mumba,6
Amit Kumar Tomar,1,9,dabang-delhi-kc,6
Dharmender,1,4,gujarat-fortunegiants,5
Amit Kumar,1,3,patna-pirates,5
Sinotharan Kanesharajah,1,3,bengaluru-bulls,5
Satpal,1,22,dabang-delhi-kc,5
Harmanjit Singh,1,4,gujarat-fortunegiants,5
Gnanasekaran M,1,8,dabang-delhi-kc,5
Ashish,1,7,patna-pirates,5
Rahul Choudhary,1,5,jaipur-pink-panthers,5
Rupesh Tomar,1,15,dabang-delhi-kc,5
Lalit Chaudhary,1,7,gujarat-fortunegiants,5
Sachin Khambe,1,22,puneri-paltan,5
Hadi Tajik,1,28,puneri-paltan,5
Sunil Siddhgavali,1,42,jaipur-pink-panthers,5
Mandeep Kumar,1,7,patna-pirates,5
Vijay Malik,1,7,patna-pirates,5
Dadaso Balaso Awad,1,12,dabang-delhi-kc,5
Mohit Sehrawat,1,13,bengaluru-bulls,5
Dovlet Boshimov,1,2,patna-pirates,4
Rohit,1,2,bengaluru-bulls,4
Wajid Ali,1,4,telugu-titans,4
Joginder Singh Narwal,1,80,dabang-delhi-kc,4
Purna Singh,1,6,patna-pirates,4
D. Gopu,1,34,tamil-thalaivas,4
Sunil,1,63,tamil-thalaivas,4
Surinder Singh,1,63,u-mumba,4
Ehsan Zamani Fard,1,8,dabang-delhi-kc,4
Sidharth,1,21,dabang-delhi-kc,4
C. Arun,1,87,telugu-titans,4
Fazel Atrachali,1,98,u-mumba,4
Amit Kumar,1,11,telugu-titans,4
Md. Masud Karim,1,3,up-yoddha,3
Vikrant,1,3,telugu-titans,3
Ram Kumar Sah,1,11,dabang-delhi-kc,3
Parveen,1,25,haryana-steelers,3
Punit Kumar Teotia,1,4,dabang-delhi-kc,3
Gulveer Singh,1,4,up-yoddha,3
Prateek,1,6,haryana-steelers,3
Aman Kadian,1,4,dabang-delhi-kc,3
Arun Kumar HN,1,4,haryana-steelers,3
Vijay Kumar,1,21,bengaluru-bulls,3
Mithin Kumar,1,3,bengal-warriors,3
Bhavani Rajput,1,4,tamil-thalaivas,3
Seong Ryeol Kim,1,15,gujarat-fortunegiants,3
Vishal,1,25,jaipur-pink-panthers,3
Anand V,1,3,bengaluru-bulls,3
Santhosh B.S,1,9,up-yoddha,3
Samarjeet Singh,1,22,jaipur-pink-panthers,3
Anil Kumar,1,54,dabang-delhi-kc,3
Sunil Kumar,1,68,gujarat-fortunegiants,3
Jay Bahadur Bohara,1,1,puneri-paltan,2
Adarsh T,1,19,bengal-warriors,2
Sanoj Kumar,1,2,up-yoddha,2
Hyunil Park,1,2,telugu-titans,2
Rohit Kumar,1,7,up-yoddha,2
Balram,1,2,dabang-delhi-kc,2
Himanshu,1,3,tamil-thalaivas,2
Gurpreet Singh,1,18,puneri-paltan,2
Md. Aruduzzaman Munshi,1,6,u-mumba,2
Ajay,1,16,bengaluru-bulls,2
Sunil Hanumanthappa,1,5,bengaluru-bulls,2
Dong Ju Hong,1,9,u-mumba,2
Sumit,1,18,up-yoddha,2
Sandeep Tomar,1,3,dabang-delhi-kc,2
Yashwant Bishnoi,1,3,tamil-thalaivas,2
Gaurav Kumar,1,3,u-mumba,2
Palle Mallikarjun,1,3,telugu-titans,2
Vinoth Paulyas,1,4,patna-pirates,2
Vimal Raj V,1,5,tamil-thalaivas,2
Vishav Chaudhary,1,2,up-yoddha,2
Nitesh Kumar,1,62,up-yoddha,2
Lokesh Kaushik,1,7,jaipur-pink-panthers,2
Amit,1,32,up-yoddha,2
Rohit Rana,1,82,u-mumba,2
Rinku Narwal,1,48,bengal-warriors,2
Abozar Mohajermighani,1,63,telugu-titans,2
Takamitsu Kono,1,1,puneri-paltan,1
Kazuhiro Takano,1,2,jaipur-pink-panthers,1
Ravit Kumar,1,3,telugu-titans,1
Chand Singh,1,9,haryana-steelers,1
Saurabh Nandal,1,18,bengaluru-bulls,1
Yong Joo Ok,1,1,u-mumba,1
Parveen Narwal,1,1,jaipur-pink-panthers,1
Nitin Kumar,1,1,u-mumba,1
Parvesh Attri,1,1,bengaluru-bulls,1
Vikas Chhillar,1,1,haryana-steelers,1
Deepak Dhull,1,10,patna-pirates,1
Somvir,1,16,telugu-titans,1
Nirbhay Narwal,1,2,bengaluru-bulls,1
Inderpal Bishnoi,1,2,dabang-delhi-kc,1
Vijender Singh,1,8,bengaluru-bulls,1
Kuldeep Singh,1,36,haryana-steelers,1
Somvir Shekhar,1,61,jaipur-pink-panthers,1
Munish,1,3,telugu-titans,1
Anil Kumar,1,6,tamil-thalaivas,1
Darshan J.,1,29,tamil-thalaivas,1
Jeeva Kumar,1,112,bengal-warriors,1
Ajinkya Rohidas Kapre,1,2,u-mumba,1
Anuj Kumar,1,7,telugu-titans,1
Sandeep Kumar Dhull,1,64,jaipur-pink-panthers,1
Hemant Chauhan,1,3,tamil-thalaivas,1
Navneet Gautam,1,31,jaipur-pink-panthers,1
Amit Singh Chhillar,1,35,telugu-titans,1
Baldev Singh,1,38,bengal-warriors,1
Gurchet Singh,1,4,bengaluru-bulls,1
Rajaguru Subramanian,1,46,u-mumba,1
Parveen M. Jangra,1,6,bengal-warriors,1
Anil Kumar,1,19,dabang-delhi-kc,1
Sunny,1,3,patna-pirates,1
Krushna Madane,1,16,telugu-titans,1
Prashant Chavan,1,41,dabang-delhi-kc,1
Rakesh Singh Kumar,1,49,haryana-steelers,1
Shubham Shinde,1,23,puneri-paltan,1
Sagar B Krishna,1,60,puneri-paltan,1
Mahender Singh,1,62,bengaluru-bulls,1
Vishal Bhardwaj,1,59,telugu-titans,1
