team_name,Season,matches_played,super-raid
Patna Pirates,0,131,90
Bengal Warriors,0,125,70
Bengaluru Bulls,0,125,63
Puneri Paltan,0,126,63
Telugu Titans,0,122,62
Dabang Delhi K.C.,0,122,62
U Mumba,0,126,62
Jaipur Pink Panthers,0,124,61
Haryana Steelers,0,64,38
U.P. Yoddha,0,66,38
Gujarat Fortunegiants,0,69,26
Tamil Thalaivas,0,64,16
