player_name,season,matches_played,team,high-5s
Nitesh Kumar,1,25,up-yoddha,8
Mahender Singh,1,24,bengaluru-bulls,6
Fazel Atrachali,1,23,u-mumba,6
Parvesh Bhainswal,1,25,gujarat-fortunegiants,5
Vishal Bhardwaj,1,17,telugu-titans,5
Abozar Mohajermighani,1,21,telugu-titans,4
Jaideep,1,22,patna-pirates,4
Sunil Siddhgavali,1,16,jaipur-pink-panthers,4
Sandeep Kumar Dhull,1,22,jaipur-pink-panthers,4
PO Surjeet Singh,1,23,bengal-warriors,4
Amit Hooda,1,18,tamil-thalaivas,4
Ravinder Pahal,1,22,dabang-delhi-kc,4
Girish Maruti Ernak,1,20,puneri-paltan,4
Vishal Mane,1,22,dabang-delhi-kc,3
Sunil Kumar,1,25,gujarat-fortunegiants,3
Jawahar Dagar,1,15,patna-pirates,2
Narender,1,25,up-yoddha,2
Amit Sheoran,1,15,bengaluru-bulls,2
Kuldeep Singh,1,22,haryana-steelers,2
Surender Singh,1,22,u-mumba,2
Vinod Kumar,1,17,u-mumba,2
Sachin Kumar,1,25,up-yoddha,2
Ravi Kumar,1,22,puneri-paltan,2
Manjeet Chhillar,1,19,tamil-thalaivas,2
Rohit Rana,1,19,u-mumba,2
Sunil,1,22,haryana-steelers,2
Parveen,1,19,haryana-steelers,1
Amit Kumar,1,17,jaipur-pink-panthers,1
Ponparthiban Subramanian,1,12,tamil-thalaivas,1
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,1
Dharmaraj Cheralathan,1,22,u-mumba,1
Jeeva Kumar,1,19,up-yoddha,1
Vikas Kale,1,22,patna-pirates,1
Joginder Singh Narwal,1,22,dabang-delhi-kc,1
Ashish Kumar,1,24,bengaluru-bulls,1
Sandeep Narwal,1,18,puneri-paltan,1
Rohit Kumar,1,24,bengaluru-bulls,1
Sagar B Krishna,1,20,up-yoddha,1
Anil Kumar,1,4,tamil-thalaivas,1
Ruturaj Shivaji Koravi,1,23,gujarat-fortunegiants,1
Farhad Rahimi Milaghardan,1,22,telugu-titans,1
Akshay Jadhav,1,18,puneri-paltan,1
Baldev Singh,1,18,bengal-warriors,1
Young Chang Ko,1,13,jaipur-pink-panthers,1
