player_name,season,matches_played,team,super-10s
Pardeep Narwal,1,26,patna-pirates,19
Rohit Kumar,1,22,bengaluru-bulls,12
Ajay Thakur,1,22,tamil-thalaivas,12
Maninder Singh,1,21,bengal-warriors,9
Monu Goyat,1,26,patna-pirates,9
Rahul Chaudhari,1,22,telugu-titans,8
Deepak Niwas Hooda,1,24,puneri-paltan,7
Sachin,1,24,gujarat-fortunegiants,7
Nitin Tomar,1,20,up-yoddha,7
Rishank Devadiga,1,21,up-yoddha,5
Deepak Narwal,1,16,bengal-warriors,4
K. Prapanjan,1,22,tamil-thalaivas,3
Nilesh Salunke,1,21,telugu-titans,3
Prashanth Kumar Rai,1,16,haryana-steelers,3
Pawan Kumar Kadian,1,21,jaipur-pink-panthers,3
Kashiling Adake,1,20,u-mumba,3
Wazir Singh,1,21,haryana-steelers,3
Shrikant Jadhav,1,19,u-mumba,2
Jasvir Singh,1,15,jaipur-pink-panthers,2
Anup Kumar,1,21,u-mumba,2
Surender Singh,1,18,up-yoddha,2
Meraj Sheykh,1,20,dabang-delhi-kc,2
Nitin Rawal,1,21,jaipur-pink-panthers,2
Ajay Kumar,1,22,bengaluru-bulls,2
Mohsen Maghsoudloujafari,1,16,telugu-titans,1
Rohit Baliyan,1,17,dabang-delhi-kc,1
Harish Naik,1,14,bengaluru-bulls,1
Chandran Ranjit,1,11,gujarat-fortunegiants,1
Shabeer Bappu,1,12,u-mumba,1
Rajesh Mondal,1,24,puneri-paltan,1
Sukesh Hegde,1,18,gujarat-fortunegiants,1
CPO Surjeet Singh,1,17,haryana-steelers,1
Deepak Kumar Dahiya,1,16,haryana-steelers,1
