player_name,season,matches_played,team,super-raids
Anup Kumar,1,16,u-mumba,8
Sandeep Narwal,1,16,patna-pirates,8
Jang Kun Lee,1,11,bengal-warriors,5
Ravi Dalal,1,16,patna-pirates,4
Rajesh Narwal,1,16,jaipur-pink-panthers,3
Sukesh Hegde,1,14,telugu-titans,3
Maninder Singh,1,16,jaipur-pink-panthers,3
Kashiling Adake,1,14,dabang-delhi-kc,3
Deepak Niwas Hooda,1,14,telugu-titans,3
Nitin Madane,1,12,bengal-warriors,3
Pravin Niwale,1,7,puneri-paltan,3
Rahul Chaudhari,1,14,telugu-titans,2
Rajesh Mondal,1,15,bengaluru-bulls,2
Mahipal Narwal,1,5,puneri-paltan,2
Manjeet Chhillar,1,16,bengaluru-bulls,2
Manoj Kumar,1,14,puneri-paltan,2
Jasvir Singh,1,15,jaipur-pink-panthers,2
Surjeet Narwal,1,14,dabang-delhi-kc,2
Wazir Singh,1,12,puneri-paltan,2
Sunil Jaipal,1,13,bengal-warriors,2
Ajay Thakur,1,15,bengaluru-bulls,2
Rishank Devadiga,1,16,u-mumba,2
Shabeer Bappu,1,10,u-mumba,2
Ran Singh,1,10,jaipur-pink-panthers,1
Kalimuthu Balamahendran,1,14,puneri-paltan,1
Mahesh Goud,1,13,bengal-warriors,1
Waleed Al Hasani,1,6,puneri-paltan,1
Sinotharan Kanesharajah,1,1,bengaluru-bulls,1
Mandeep Kumar,1,7,patna-pirates,1
