team_name,Season,matches_played,super-tackles
Patna Pirates,1,16,18
Bengal Warriors,1,14,16
Puneri Paltan,1,14,14
Jaipur Pink Panthers,1,16,12
U Mumba,1,16,12
Bengaluru Bulls,1,16,10
Dabang Delhi K.C.,1,14,10
Telugu Titans,1,14,8
