team_name,Season,matches_played,avg-raid
Patna Pirates,5,26,24.5
U.P. Yoddha,5,23,20.04
U Mumba,5,22,19.05
Bengal Warriors,5,24,18.96
Tamil Thalaivas,5,22,18.64
Telugu Titans,5,22,18.18
Bengaluru Bulls,5,22,17.86
Haryana Steelers,5,23,17.57
Gujarat Fortunegiants,5,24,16.88
Jaipur Pink Panthers,5,22,16.05
Puneri Paltan,5,24,15.79
Dabang Delhi K.C.,5,22,15.64
