team_name,Season,matches_played,tackle-points
Puneri Paltan,3,16,187
Patna Pirates,3,16,182
U Mumba,3,16,169
Bengal Warriors,3,16,150
Jaipur Pink Panthers,3,14,117
Telugu Titans,3,14,116
Dabang Delhi K.C.,3,14,111
Bengaluru Bulls,3,14,100
