player_name,season,matches_played,team,avg-tackle
Sandeep Kandola,1,16,telugu-titans,3.69
Sumit,1,18,up-yoddha,3.39
Vishal Bhardwaj,1,59,telugu-titans,3.36
Nitesh Kumar,1,62,up-yoddha,3.18
Sandeep Kumar Dhull,1,64,jaipur-pink-panthers,3.14
Manjeet Chhillar,1,108,tamil-thalaivas,3.14
Surender Nada,1,71,haryana-steelers,3.13
Fazel Atrachali,1,98,u-mumba,3.01
Ravinder Pahal,1,109,dabang-delhi-kc,2.94
PO Surjeet Singh,1,92,puneri-paltan,2.89
Mahender Singh,1,62,bengaluru-bulls,2.68
Amit Hooda,1,86,jaipur-pink-panthers,2.66
Jaideep,1,67,patna-pirates,2.64
Sunil Kumar,1,68,gujarat-fortunegiants,2.63
Surinder Singh,1,63,u-mumba,2.62
Saurabh Nandal,1,18,bengaluru-bulls,2.61
Abozar Mohajermighani,1,63,telugu-titans,2.54
Mohit Chhillar,1,109,tamil-thalaivas,2.54
Vijendar Singh,1,8,telugu-titans,2.5
Girish Maruti Ernak,1,104,puneri-paltan,2.49
Sandeep Narwal,1,120,u-mumba,2.47
Parvesh Bhainswal,1,76,gujarat-fortunegiants,2.43
Vishal,1,25,jaipur-pink-panthers,2.36
Baldev Singh,1,38,bengal-warriors,2.26
Sunil,1,39,haryana-steelers,2.23
Dharmaraj Cheralathan,1,116,haryana-steelers,2.22
Joginder Singh Narwal,1,80,dabang-delhi-kc,2.13
Amit Sheoran,1,38,bengaluru-bulls,2.13
Jasmer Singh Gulia,1,52,bengaluru-bulls,2.1
Sachin Khambe,1,22,puneri-paltan,2.09
Jeeva Kumar,1,112,bengal-warriors,2.03
Kuldeep Singh,1,20,bengaluru-bulls,2
Harvinder Singh,1,4,puneri-paltan,2
Nilesh Shinde,1,69,dabang-delhi-kc,1.96
Rinku Narwal,1,48,bengal-warriors,1.96
Ran Singh,1,118,tamil-thalaivas,1.94
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,1.94
Kuldeep Singh,1,66,patna-pirates,1.86
Yatharth Deshwal,1,6,dabang-delhi-kc,1.83
Kuldeep Singh,1,36,haryana-steelers,1.78
Neeraj Kumar,1,36,patna-pirates,1.78
Vinod Kumar,1,27,puneri-paltan,1.78
Ashu Singh,1,18,up-yoddha,1.78
D. Suresh Kumar,1,59,u-mumba,1.75
Satpal,1,22,dabang-delhi-kc,1.73
Ravi Kumar,1,92,haryana-steelers,1.7
Amit Singh Chhillar,1,35,telugu-titans,1.69
Sunil,1,63,tamil-thalaivas,1.67
Vikas Kale,1,59,haryana-steelers,1.66
Rohit Rana,1,82,u-mumba,1.66
Pankaj,1,23,gujarat-fortunegiants,1.65
Ruturaj Shivaji Koravi,1,38,gujarat-fortunegiants,1.63
Darshan J.,1,29,tamil-thalaivas,1.59
Wasim Sajjad,1,17,telugu-titans,1.59
Sachin Shingade,1,75,haryana-steelers,1.59
M. Abishek,1,7,tamil-thalaivas,1.57
Bajirao Hodage,1,61,jaipur-pink-panthers,1.56
Vishal Mane,1,125,dabang-delhi-kc,1.55
Hadi Oshtorak,1,69,patna-pirates,1.51
Narender,1,28,up-yoddha,1.5
Anil Kumar,1,54,dabang-delhi-kc,1.5
S Mahalingam,1,11,telugu-titans,1.45
Gurpreet Singh,1,18,puneri-paltan,1.44
Tapas Pal,1,7,dabang-delhi-kc,1.43
Dadaso Balaso Awad,1,12,dabang-delhi-kc,1.42
Somvir Shekhar,1,61,jaipur-pink-panthers,1.41
Sanket Sawant,1,5,puneri-paltan,1.4
D. Gopu,1,34,tamil-thalaivas,1.38
Sunil Siddhgavali,1,42,jaipur-pink-panthers,1.38
Vikash,1,19,haryana-steelers,1.37
Prashant Chavan,1,41,dabang-delhi-kc,1.37
Ram Kumar Sah,1,11,dabang-delhi-kc,1.36
Sandeep,1,14,bengaluru-bulls,1.36
Rakesh Kumar,1,55,telugu-titans,1.35
Ashish Kumar,1,83,bengaluru-bulls,1.34
Santhapanaselvam,1,32,jaipur-pink-panthers,1.34
Anil Kumar,1,6,tamil-thalaivas,1.33
Rajeev Kumar,1,3,dabang-delhi-kc,1.33
Shyam Kumar Sah,1,27,bengal-warriors,1.33
Elavarasan A,1,3,jaipur-pink-panthers,1.33
Sombir,1,31,dabang-delhi-kc,1.32
Somvir,1,16,telugu-titans,1.31
Sidharth,1,21,dabang-delhi-kc,1.29
Monu,1,52,patna-pirates,1.29
Deepak Kumar,1,7,bengal-warriors,1.29
Farhad Rahimi Milaghardan,1,58,telugu-titans,1.28
Anil Kumar,1,19,dabang-delhi-kc,1.26
Shubham Shinde,1,23,puneri-paltan,1.26
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,1.25
Vikash,1,4,bengal-warriors,1.25
Vijender Singh,1,8,bengaluru-bulls,1.25
Amit Kumar,1,17,jaipur-pink-panthers,1.24
C. Arun,1,87,telugu-titans,1.23
Rajesh Narwal,1,92,dabang-delhi-kc,1.23
Jawahar Dagar,1,46,patna-pirates,1.22
Deepak Dhull,1,10,patna-pirates,1.2
Amit Kumar,1,11,telugu-titans,1.18
Sagar,1,11,tamil-thalaivas,1.18
Sagar Khatale,1,12,puneri-paltan,1.17
