team_name,Season,matches_played,avg-tackle
Puneri Paltan,3,16,11.69
Patna Pirates,3,16,11.38
U Mumba,3,16,10.56
Bengal Warriors,3,16,9.38
Jaipur Pink Panthers,3,14,8.36
Telugu Titans,3,14,8.29
Dabang Delhi K.C.,3,14,7.93
Bengaluru Bulls,3,14,7.14
