team_name,Season,matches_played,all-outs
U Mumba,5,22,36
Dabang Delhi K.C.,5,22,35
U.P. Yoddha,5,23,32
Tamil Thalaivas,5,22,31
Bengal Warriors,5,24,29
Patna Pirates,5,26,29
Jaipur Pink Panthers,5,22,27
Telugu Titans,5,22,26
Bengaluru Bulls,5,22,25
Haryana Steelers,5,23,23
Puneri Paltan,5,24,23
Gujarat Fortunegiants,5,24,17
