team_name,Season,matches_played,successful-tackles
U Mumba,2,16,180
Telugu Titans,2,16,158
Bengaluru Bulls,2,16,158
Patna Pirates,2,16,152
Jaipur Pink Panthers,2,14,124
Dabang Delhi K.C.,2,14,122
Bengal Warriors,2,14,116
Puneri Paltan,2,14,104
