team_name,Season,matches_played,do-or
Puneri Paltan,3,16,87
Patna Pirates,3,16,74
Bengal Warriors,3,16,70
Bengaluru Bulls,3,14,69
U Mumba,3,16,59
Jaipur Pink Panthers,3,14,59
Dabang Delhi K.C.,3,14,54
Telugu Titans,3,14,44
