team_name,Season,matches_played,super-raid
Bengaluru Bulls,6,24,20
Bengal Warriors,6,23,16
U Mumba,6,23,15
Dabang Delhi K.C.,6,24,13
Jaipur Pink Panthers,6,22,13
Haryana Steelers,6,22,12
Patna Pirates,6,22,11
U.P. Yoddha,6,25,10
Gujarat Fortunegiants,6,25,10
Telugu Titans,6,22,9
Puneri Paltan,6,22,7
Tamil Thalaivas,6,22,7
