team_name,Season,matches_played,all-outs
Telugu Titans,2,16,26
Bengaluru Bulls,2,16,25
U Mumba,2,16,20
Jaipur Pink Panthers,2,14,17
Dabang Delhi K.C.,2,14,13
Patna Pirates,2,16,13
Puneri Paltan,2,14,12
Bengal Warriors,2,14,10
