team_name,Season,matches_played,total-points
Puneri Paltan,7,20,723
Tamil Thalaivas,7,20,695
Dabang Delhi K.C.,7,20,659
Jaipur Pink Panthers,7,20,644
Bengaluru Bulls,7,19,644
Patna Pirates,7,19,641
Haryana Steelers,7,19,626
Bengal Warriors,7,20,623
Telugu Titans,7,18,603
Gujarat Fortunegiants,7,20,591
U.P. Yoddha,7,18,570
U Mumba,7,19,561
