player_name,season,matches_played,team,avg-raid
Pardeep Narwal,1,104,patna-pirates,10.69
Naveen Kumar,1,42,dabang-delhi-kc,10.19
Siddharth Sirish Desai,1,39,telugu-titans,10.05
Maninder Singh,1,79,bengal-warriors,9.25
Pawan Kumar Sehrawat,1,75,bengaluru-bulls,8.03
Rahul Chaudhari,1,120,tamil-thalaivas,7.86
Vikash Kandola,1,51,haryana-steelers,7.57
Rohit Kumar,1,89,bengaluru-bulls,7.55
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,6.96
Pankaj Mohite,1,16,puneri-paltan,6.88
Sachin Tanwar,1,63,gujarat-fortunegiants,6.87
Ajay Thakur,1,115,tamil-thalaivas,6.87
V. Ajith Kumar,1,17,tamil-thalaivas,6.69
Nitin Tomar,1,66,puneri-paltan,6.63
Monu Goyat,1,69,up-yoddha,6.57
Kashiling Adake,1,92,bengaluru-bulls,6.1
Wazir Singh,1,47,haryana-steelers,6.04
Anup Kumar,1,91,jaipur-pink-panthers,5.79
Chandran Ranjit,1,61,dabang-delhi-kc,5.18
Surjeet Narwal,1,31,bengal-warriors,5.16
Abhishek Singh,1,32,u-mumba,5.16
Shrikant Jadhav,1,72,up-yoddha,5.11
Rishank Devadiga,1,117,up-yoddha,5.09
Jasvir Singh,1,77,tamil-thalaivas,5
Vinay,1,19,haryana-steelers,4.84
Manjeet,1,42,puneri-paltan,4.55
Ravi Dalal,1,38,dabang-delhi-kc,4.55
K. Prapanjan,1,81,bengal-warriors,4.54
Jang Kun Lee,1,103,patna-pirates,4.47
Nitin Madane,1,37,u-mumba,4.46
Arjun Deshwal,1,19,u-mumba,4.21
Sonu Narwal,1,33,puneri-paltan,4.18
Naveen,1,35,haryana-steelers,4.11
Rohit Baliyan,1,68,u-mumba,4.08
Prashanth Kumar Rai,1,94,haryana-steelers,4.07
Sukesh Hegde,1,97,bengal-warriors,4.04
Suraj Desai,1,12,telugu-titans,4
Ravi V.,1,2,puneri-paltan,4
Emad Sedaghatnia,1,2,puneri-paltan,4
Nilesh Salunke,1,79,jaipur-pink-panthers,3.99
Deepak Narwal,1,81,jaipur-pink-panthers,3.89
Pravin Niwale,1,17,dabang-delhi-kc,3.88
Pawan Kumar Kadian,1,74,puneri-paltan,3.79
Ajay Kumar,1,50,gujarat-fortunegiants,3.79
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,3.75
Rajnish,1,14,telugu-titans,3.71
CPO Surjeet Singh,1,48,tamil-thalaivas,3.67
Rohit Gulia,1,58,gujarat-fortunegiants,3.64
Meraj Sheykh,1,95,dabang-delhi-kc,3.61
Surender Gill,1,15,up-yoddha,3.6
Sonu Jaglan,1,15,gujarat-fortunegiants,3.47
Deepak Kumar Dahiya,1,53,puneri-paltan,3.42
Mangesh Bhagat,1,8,puneri-paltan,3.38
Rakesh Kumar,1,55,telugu-titans,3.38
Rajesh Narwal,1,92,dabang-delhi-kc,3.26
Abolfazl Maghsodloumahali,1,47,gujarat-fortunegiants,3.2
Athul MS,1,38,u-mumba,3.08
More GB,1,45,gujarat-fortunegiants,3.02
Ajinkya Ashok Pawar,1,31,jaipur-pink-panthers,3
Pradeep Kumar,1,10,u-mumba,3
Nitin Rawal,1,45,jaipur-pink-panthers,2.98
Surender Singh,1,48,up-yoddha,2.96
Mahendra Ganesh Rajput,1,62,gujarat-fortunegiants,2.95
Rajesh Mondal,1,89,puneri-paltan,2.92
Shabeer Bappu,1,74,tamil-thalaivas,2.88
Amit Om Prakash Rathi,1,16,gujarat-fortunegiants,2.88
Selvamani K,1,56,haryana-steelers,2.83
Jitesh Joshi,1,19,puneri-paltan,2.79
Sushil Gulia,1,7,jaipur-pink-panthers,2.71
Amit Kumar,1,6,puneri-paltan,2.67
Mahesh Goud,1,65,bengal-warriors,2.66
Tushar Patil,1,53,patna-pirates,2.6
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,2.5
Darshan Kadian,1,39,puneri-paltan,2.47
Rohit Kumar Choudary,1,38,up-yoddha,2.45
Rakesh Gowda,1,9,telugu-titans,2.44
Elangeshwaran R,1,5,telugu-titans,2.4
Dinesh Kumar,1,8,bengal-warriors,2.38
Manjeet Chhillar,1,108,tamil-thalaivas,2.38
Vijay,1,59,dabang-delhi-kc,2.35
Sandeep,1,6,puneri-paltan,2.33
Mahesh Maruti Magdum,1,4,bengaluru-bulls,2.33
R. Sriram,1,15,puneri-paltan,2.33
Waleed Al Hasani,1,6,puneri-paltan,2.33
Sunil Jaipal,1,38,bengaluru-bulls,2.29
Ravindra Ramesh Kumawat,1,19,bengal-warriors,2.21
Armaan,1,10,telugu-titans,2.2
Dong Geon Lee,1,33,u-mumba,2.15
Harish Naik,1,21,bengaluru-bulls,2.14
Vikas Kumar,1,14,telugu-titans,2.14
Sanjay Kumar,1,8,patna-pirates,2.14
Sandeep Narwal,1,120,u-mumba,2.13
Rakesh Narwal,1,26,bengal-warriors,2.12
Azad Singh,1,13,up-yoddha,2.08
Mahipal Narwal,1,34,gujarat-fortunegiants,2.04
Sachin Vittala,1,26,gujarat-fortunegiants,2
Virender Wazir Singh,1,7,bengal-warriors,2
Ankush,1,3,up-yoddha,2
Suresh Kumar,1,11,puneri-paltan,2
Victor Onyango Obiero,1,6,tamil-thalaivas,2
Vinod Kumar,1,29,bengaluru-bulls,2
Mohan Raman G,1,4,u-mumba,2
Gurvinder Singh,1,45,gujarat-fortunegiants,1.95
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,1.94
Ajit Singh,1,17,jaipur-pink-panthers,1.88
Shrikant Tewthia,1,71,bengal-warriors,1.86
Manpreet Singh,1,13,patna-pirates,1.85
Yogesh Hooda,1,21,dabang-delhi-kc,1.84
Anand Patil,1,26,jaipur-pink-panthers,1.84
Banty,1,11,bengaluru-bulls,1.8
Vinoth Kumar,1,17,u-mumba,1.76
Ashish Chhokar,1,12,bengal-warriors,1.75
Anand,1,8,tamil-thalaivas,1.75
