player_name,season,matches_played,team,super-tackles
Dharmaraj Cheralathan,1,14,patna-pirates,8
Fazel Atrachali,1,16,patna-pirates,7
Ashish Kumar,1,14,bengaluru-bulls,6
Sachin Shingade,1,14,dabang-delhi-kc,5
Shabeer Bappu,1,12,jaipur-pink-panthers,5
Kuldeep Singh,1,15,patna-pirates,5
Anil Kumar,1,9,dabang-delhi-kc,4
Surender Nada,1,13,bengaluru-bulls,4
Amit Hooda,1,16,jaipur-pink-panthers,4
PO Surjeet Singh,1,14,u-mumba,4
Hadi Oshtorak,1,7,patna-pirates,3
Meraj Sheykh,1,14,dabang-delhi-kc,3
Vishal Mane,1,14,bengal-warriors,3
Rakesh Kumar,1,14,u-mumba,3
Kashiling Adake,1,13,dabang-delhi-kc,3
Mohit Chhillar,1,14,bengaluru-bulls,3
Mahipal Narwal,1,14,jaipur-pink-panthers,2
Jasvir Singh,1,14,jaipur-pink-panthers,2
Jeeva Kumar,1,14,u-mumba,2
D. Gopu,1,5,dabang-delhi-kc,2
Ravinder Pahal,1,14,puneri-paltan,2
Sandeep Narwal,1,16,telugu-titans,2
Girish Maruti Ernak,1,12,bengal-warriors,2
Bajirao Hodage,1,14,patna-pirates,2
Joginder Singh Narwal,1,16,puneri-paltan,2
S Mahalingam,1,11,telugu-titans,2
Monu Goyat,1,13,bengal-warriors,1
Pardeep Narwal,1,16,patna-pirates,1
C. Arun,1,14,bengal-warriors,1
Sunil,1,10,u-mumba,1
Rohit Kumar,1,14,bengaluru-bulls,1
Sumit Singh,1,5,bengaluru-bulls,1
Umesh Mhatre,1,2,dabang-delhi-kc,1
Ran Singh,1,16,jaipur-pink-panthers,1
Anup Kumar,1,14,u-mumba,1
Shrikant Tewthia,1,4,jaipur-pink-panthers,1
Somvir Shekhar,1,16,puneri-paltan,1
Manjeet Chhillar,1,12,puneri-paltan,1
Nitin Madane,1,13,bengal-warriors,1
Rahul Chaudhari,1,16,telugu-titans,1
Rajesh Narwal,1,16,jaipur-pink-panthers,1
