player_name,season,matches_played,team,do-or
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,166
Rahul Chaudhari,1,120,tamil-thalaivas,164
Ajay Thakur,1,115,tamil-thalaivas,163
Pardeep Narwal,1,104,patna-pirates,136
Rishank Devadiga,1,117,up-yoddha,127
Rajesh Mondal,1,89,puneri-paltan,126
Rohit Kumar,1,89,bengaluru-bulls,106
Kashiling Adake,1,92,bengaluru-bulls,103
Maninder Singh,1,79,bengal-warriors,102
Jang Kun Lee,1,103,patna-pirates,100
Sukesh Hegde,1,97,bengal-warriors,99
Meraj Sheykh,1,95,dabang-delhi-kc,95
Shrikant Jadhav,1,72,up-yoddha,93
Sachin Tanwar,1,63,gujarat-fortunegiants,88
Deepak Kumar Dahiya,1,53,puneri-paltan,79
K. Prapanjan,1,81,bengal-warriors,79
Ajay Kumar,1,50,gujarat-fortunegiants,79
Nilesh Salunke,1,79,jaipur-pink-panthers,78
Vikash Kandola,1,51,haryana-steelers,77
Monu Goyat,1,69,up-yoddha,73
Pawan Kumar Sehrawat,1,75,bengaluru-bulls,71
Deepak Narwal,1,81,jaipur-pink-panthers,71
Prashanth Kumar Rai,1,94,haryana-steelers,68
Selvamani K,1,56,haryana-steelers,63
Siddharth Sirish Desai,1,39,telugu-titans,63
Jasvir Singh,1,77,tamil-thalaivas,61
Pawan Kumar Kadian,1,74,puneri-paltan,60
Naveen Kumar,1,42,dabang-delhi-kc,59
Rajesh Narwal,1,92,dabang-delhi-kc,57
Wazir Singh,1,47,haryana-steelers,54
Shabeer Bappu,1,74,tamil-thalaivas,53
Nitin Tomar,1,66,puneri-paltan,52
Abhishek Singh,1,32,u-mumba,50
Mahendra Ganesh Rajput,1,62,gujarat-fortunegiants,47
Tushar Patil,1,53,patna-pirates,43
Surender Singh,1,48,up-yoddha,41
Abolfazl Maghsodloumahali,1,47,gujarat-fortunegiants,41
Rohit Kumar Choudary,1,38,up-yoddha,39
Mahesh Goud,1,65,bengal-warriors,39
Chandran Ranjit,1,61,dabang-delhi-kc,38
Rohit Gulia,1,58,gujarat-fortunegiants,37
More GB,1,45,gujarat-fortunegiants,37
Ravi Dalal,1,38,dabang-delhi-kc,36
Nitin Rawal,1,45,jaipur-pink-panthers,35
Manjeet,1,42,puneri-paltan,34
Bhupender Singh,1,47,bengal-warriors,34
Anup Kumar,1,91,jaipur-pink-panthers,33
Nitin Madane,1,37,u-mumba,33
Gurvinder Singh,1,45,gujarat-fortunegiants,30
Rohit Baliyan,1,68,u-mumba,30
Ajinkya Ashok Pawar,1,31,jaipur-pink-panthers,29
Naveen,1,35,haryana-steelers,28
Mohsen Maghsoudloujafari,1,46,up-yoddha,28
Vinod Kumar,1,29,bengaluru-bulls,26
Darshan Kadian,1,39,puneri-paltan,25
Sandeep Narwal,1,120,u-mumba,25
Pankaj Mohite,1,16,puneri-paltan,24
Surender Gill,1,15,up-yoddha,24
Monu,1,52,patna-pirates,22
Ran Singh,1,118,tamil-thalaivas,22
Sonu Narwal,1,33,puneri-paltan,22
Athul MS,1,38,u-mumba,20
CPO Surjeet Singh,1,48,tamil-thalaivas,19
Manjeet Chhillar,1,108,tamil-thalaivas,19
Vinod Kumar,1,47,gujarat-fortunegiants,18
Rakesh Kumar,1,55,telugu-titans,17
Dong Geon Lee,1,33,u-mumba,17
Amit Om Prakash Rathi,1,16,gujarat-fortunegiants,17
R. Sriram,1,15,puneri-paltan,16
Ravindra Ramesh Kumawat,1,19,bengal-warriors,16
Yogesh Hooda,1,21,dabang-delhi-kc,15
Jitesh Joshi,1,19,puneri-paltan,15
Suresu Kumar,1,21,dabang-delhi-kc,15
Vinoth Kumar,1,17,u-mumba,14
Mahipal Narwal,1,34,gujarat-fortunegiants,14
Pravin Niwale,1,17,dabang-delhi-kc,14
Amit Kumar,1,19,puneri-paltan,14
Vinay,1,19,haryana-steelers,14
Sunil Jaipal,1,38,bengaluru-bulls,13
Sumit Singh,1,32,bengaluru-bulls,13
Anand Patil,1,26,jaipur-pink-panthers,12
Surjeet Narwal,1,31,bengal-warriors,12
Rakesh Narwal,1,26,bengal-warriors,11
V. Ajith Kumar,1,17,tamil-thalaivas,11
Rajnish,1,14,telugu-titans,11
Vijay,1,59,dabang-delhi-kc,11
Arjun Deshwal,1,19,u-mumba,11
Ashish Kumar,1,83,bengaluru-bulls,10
Mohammad Maghshoudulu,1,18,patna-pirates,9
Kedar Lal,1,10,bengal-warriors,9
Vikas Jaglan,1,46,patna-pirates,9
Ajit Singh,1,17,jaipur-pink-panthers,9
Akshay Jadhav,1,29,puneri-paltan,9
Suresh Kumar,1,11,puneri-paltan,9
Vikas Kumar,1,14,telugu-titans,9
Sonu Jaglan,1,15,gujarat-fortunegiants,9
Sushil Gulia,1,7,jaipur-pink-panthers,8
M. Thivakaran,1,9,tamil-thalaivas,8
Umesh Mhatre,1,13,puneri-paltan,8
Kuldeep Singh,1,66,patna-pirates,7
Vineet Sharma,1,41,tamil-thalaivas,7
Virender Wazir Singh,1,7,bengal-warriors,7
Farhad Rahimi Milaghardan,1,58,telugu-titans,7
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,7
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,7
Harish Naik,1,21,bengaluru-bulls,6
Anil Kashinath Patil,1,5,jaipur-pink-panthers,6
Deepak Kumar Rathee,1,20,haryana-steelers,6
Shrikant Tewthia,1,71,bengal-warriors,6
Mangesh Bhagat,1,8,puneri-paltan,6
Dharmaraj Cheralathan,1,116,haryana-steelers,6
Gangadhari Mallesh,1,36,jaipur-pink-panthers,6
Armaan,1,10,telugu-titans,6
Azad Singh,1,13,up-yoddha,6
Anand,1,8,tamil-thalaivas,6
Banty,1,11,bengaluru-bulls,6
Amit Kumar,1,17,jaipur-pink-panthers,5
Tae Deok Eom,1,35,patna-pirates,5
