team_name,Season,matches_played,avg-points
Jaipur Pink Panthers,1,16,32.12
U Mumba,1,16,31.5
Telugu Titans,1,14,31.42
Dabang Delhi K.C.,1,14,29.92
Bengal Warriors,1,14,28.92
Patna Pirates,1,16,28.62
Bengaluru Bulls,1,16,28.37
Puneri Paltan,1,14,26.85
