player_name,season,matches_played,team,super-tackles
Jeeva Kumar,1,22,up-yoddha,7
Surender Nada,1,21,haryana-steelers,6
Amit Hooda,1,22,tamil-thalaivas,6
Kuldeep Singh,1,20,u-mumba,6
Sombir,1,17,telugu-titans,6
Jaideep,1,26,patna-pirates,5
Manish,1,23,patna-pirates,5
C. Arun,1,20,tamil-thalaivas,5
Shrikant Tewthia,1,23,bengal-warriors,5
Mahender Singh,1,22,bengaluru-bulls,5
Vinod Kumar,1,21,patna-pirates,5
Rinku Narwal,1,13,puneri-paltan,4
Mohit Chhillar,1,20,haryana-steelers,4
Anup Kumar,1,21,u-mumba,4
Parvesh Bhainswal,1,24,gujarat-fortunegiants,4
PO Surjeet Singh,1,24,bengal-warriors,4
Darshan Kadian,1,16,u-mumba,3
Fazel Atrachali,1,24,gujarat-fortunegiants,3
Vishal Bhardwaj,1,22,telugu-titans,3
Hadi Oshtorak,1,16,u-mumba,3
Sagar B Krishna,1,17,up-yoddha,3
Sidharth,1,21,jaipur-pink-panthers,3
Jawahar Dagar,1,18,patna-pirates,3
Mahesh Goud,1,21,up-yoddha,3
Ran Singh,1,23,bengal-warriors,3
Girish Maruti Ernak,1,21,puneri-paltan,3
Ravinder Pahal,1,19,bengaluru-bulls,3
Vishal Mane,1,26,patna-pirates,3
Sunil Jaipal,1,13,bengaluru-bulls,3
Sandeep Narwal,1,21,puneri-paltan,3
Vishal,1,5,dabang-delhi-kc,3
Vijay,1,19,patna-pirates,3
Satpal,1,10,dabang-delhi-kc,2
Vikash,1,19,haryana-steelers,2
Vijay Kumar,1,8,tamil-thalaivas,2
Wazir Singh,1,21,haryana-steelers,2
D. Suresh Kumar,1,5,u-mumba,2
Ravi Kumar,1,23,puneri-paltan,2
Jasvir Singh,1,15,jaipur-pink-panthers,2
Jeeva Gopal,1,6,haryana-steelers,2
Kuldeep Singh,1,16,bengaluru-bulls,2
Shrikant Jadhav,1,19,u-mumba,2
Abozar Mohajermighani,1,24,gujarat-fortunegiants,2
Ziaur Rahman,1,16,puneri-paltan,2
Elangeshwaran R,1,5,telugu-titans,2
N. Renjith,1,11,u-mumba,2
Akshay Jadhav,1,10,puneri-paltan,2
Sunil Kumar,1,24,gujarat-fortunegiants,2
Nilesh Salunke,1,21,telugu-titans,2
Abolfazl Maghsodloumahali,1,19,dabang-delhi-kc,1
Nitin Tomar,1,20,up-yoddha,1
Rohit Kumar,1,22,bengaluru-bulls,1
Vineet Sharma,1,18,tamil-thalaivas,1
Deepak Kumar Rathee,1,6,haryana-steelers,1
Monu Goyat,1,26,patna-pirates,1
D. Pradap,1,16,tamil-thalaivas,1
Darshan J.,1,20,tamil-thalaivas,1
Nitesh Kumar,1,19,up-yoddha,1
E Subash,1,2,u-mumba,1
Deepak Yadav,1,4,u-mumba,1
Kuldeep Singh,1,5,haryana-steelers,1
Mohsen Maghsoudloujafari,1,16,telugu-titans,1
Sunil Siddhgavali,1,12,jaipur-pink-panthers,1
Neeraj Kumar,1,17,haryana-steelers,1
Somvir Shekhar,1,22,jaipur-pink-panthers,1
Nilesh Shinde,1,15,dabang-delhi-kc,1
Rajesh Narwal,1,16,up-yoddha,1
Rakesh Kumar,1,10,telugu-titans,1
Rishank Devadiga,1,21,up-yoddha,1
Santhosh B.S,1,9,up-yoddha,1
Shabeer Bappu,1,12,u-mumba,1
Deepak Niwas Hooda,1,24,puneri-paltan,1
Dharmaraj Cheralathan,1,18,puneri-paltan,1
Manjeet Chhillar,1,15,jaipur-pink-panthers,1
Kashiling Adake,1,20,u-mumba,1
Ashish Kumar,1,20,bengaluru-bulls,1
Sunil,1,18,dabang-delhi-kc,1
Sachin Shingade,1,26,patna-pirates,1
Vijin Thangadurai,1,12,tamil-thalaivas,1
Rakesh Singh Kumar,1,19,haryana-steelers,1
Prashanth Kumar Rai,1,16,haryana-steelers,1
Nitin Rawal,1,21,jaipur-pink-panthers,1
Tushar Balaram Bhoir,1,8,dabang-delhi-kc,1
Monu,1,19,puneri-paltan,1
Sachin,1,24,gujarat-fortunegiants,1
Vikas Kumar,1,14,telugu-titans,1
Yatharth Deshwal,1,6,dabang-delhi-kc,1
