team_name,Season,matches_played,all-outs
Puneri Paltan,1,14,26
Bengal Warriors,1,14,25
Dabang Delhi K.C.,1,14,23
U Mumba,1,16,19
Patna Pirates,1,16,17
Jaipur Pink Panthers,1,16,15
Bengaluru Bulls,1,16,15
Telugu Titans,1,14,14
