team_name,Season,matches_played,avg-raid
Patna Pirates,0,131,20.1
Haryana Steelers,0,64,19.19
Telugu Titans,0,122,18.74
Tamil Thalaivas,0,64,18.33
Bengaluru Bulls,0,125,18.29
Dabang Delhi K.C.,0,122,18.24
U.P. Yoddha,0,66,18.17
U Mumba,0,126,17.99
Bengal Warriors,0,125,17.89
Gujarat Fortunegiants,0,69,17.46
Jaipur Pink Panthers,0,124,17.29
Puneri Paltan,0,126,16.79
