player_name,season,matches_played,team,successful-raids
Naveen Kumar,1,20,dabang-delhi-kc,213
Pardeep Narwal,1,19,patna-pirates,190
Pawan Kumar Sehrawat,1,19,bengaluru-bulls,187
Maninder Singh,1,20,bengal-warriors,171
Siddharth Sirish Desai,1,18,telugu-titans,143
Vikash Kandola,1,16,haryana-steelers,119
Deepak Niwas Hooda,1,20,jaipur-pink-panthers,113
Abhishek Singh,1,17,u-mumba,103
Rahul Chaudhari,1,20,tamil-thalaivas,97
Rohit Gulia,1,20,gujarat-fortunegiants,95
V. Ajith Kumar,1,17,tamil-thalaivas,89
Manjeet,1,20,puneri-paltan,86
Pankaj Mohite,1,16,puneri-paltan,84
Shrikant Jadhav,1,18,up-yoddha,83
Chandran Ranjit,1,19,dabang-delhi-kc,81
K. Prapanjan,1,18,bengal-warriors,71
Rohit Kumar,1,17,bengaluru-bulls,69
Vinay,1,19,haryana-steelers,66
Sachin Tanwar,1,16,gujarat-fortunegiants,65
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,60
Arjun Deshwal,1,16,u-mumba,57
Nitin Tomar,1,13,puneri-paltan,49
Ajay Thakur,1,13,tamil-thalaivas,47
Prashanth Kumar Rai,1,13,haryana-steelers,45
Deepak Narwal,1,17,jaipur-pink-panthers,44
Naveen,1,14,haryana-steelers,43
Sonu Jaglan,1,15,gujarat-fortunegiants,42
Surender Gill,1,15,up-yoddha,41
Nilesh Salunke,1,17,jaipur-pink-panthers,40
Monu Goyat,1,10,up-yoddha,38
Jang Kun Lee,1,13,patna-pirates,37
Athul MS,1,15,u-mumba,36
More GB,1,17,gujarat-fortunegiants,35
Rishank Devadiga,1,14,up-yoddha,35
Suraj Desai,1,12,telugu-titans,35
Rohit Baliyan,1,16,u-mumba,31
Rajnish,1,10,telugu-titans,31
Vijay,1,19,dabang-delhi-kc,31
Sumit Singh,1,15,bengaluru-bulls,27
Sukesh Hegde,1,13,bengal-warriors,27
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,25
Nitin Rawal,1,15,jaipur-pink-panthers,23
Meraj Sheykh,1,13,dabang-delhi-kc,22
Rakesh Gowda,1,9,telugu-titans,20
Farhad Rahimi Milaghardan,1,18,telugu-titans,20
Pawan Kumar Kadian,1,6,puneri-paltan,19
Shabeer Bappu,1,14,tamil-thalaivas,17
Ajinkya Ashok Pawar,1,14,jaipur-pink-panthers,16
Sandeep Narwal,1,19,u-mumba,14
Banty,1,11,bengaluru-bulls,13
Sushil Gulia,1,7,jaipur-pink-panthers,12
Amit Kumar,1,13,puneri-paltan,12
Monu,1,19,patna-pirates,9
Amit Kumar,1,6,puneri-paltan,9
Sushant Sail,1,9,puneri-paltan,8
Dong Geon Lee,1,5,u-mumba,8
Selvamani K,1,7,haryana-steelers,7
Vikas Jaglan,1,19,patna-pirates,7
Sachin Narwal,1,12,jaipur-pink-panthers,7
Vinod Kumar,1,9,gujarat-fortunegiants,6
Armaan,1,6,telugu-titans,6
Ran Singh,1,19,tamil-thalaivas,5
Surender Singh,1,4,up-yoddha,5
Emad Sedaghatnia,1,2,puneri-paltan,5
Ankit Beniwal,1,6,telugu-titans,5
Harmanjit Singh,1,4,gujarat-fortunegiants,5
Mohit Sehrawat,1,13,bengaluru-bulls,4
Ankush,1,3,up-yoddha,4
Hadi Oshtorak,1,19,patna-pirates,4
Darshan Kadian,1,7,puneri-paltan,4
Victor Onyango Obiero,1,3,tamil-thalaivas,4
Mohsen Maghsoudloujafari,1,11,up-yoddha,4
Azad Singh,1,4,up-yoddha,3
Vineet Sharma,1,11,tamil-thalaivas,3
Abolfazl Maghsodloumahali,1,6,gujarat-fortunegiants,3
Rakesh Narwal,1,2,bengal-warriors,3
Gurvinder Singh,1,2,gujarat-fortunegiants,3
Anand,1,5,tamil-thalaivas,3
Purna Singh,1,6,patna-pirates,3
Ashish,1,7,patna-pirates,3
Amit Kumar,1,3,patna-pirates,3
Palle Mallikarjun,1,3,telugu-titans,2
Aman Kadian,1,3,dabang-delhi-kc,2
Amit Kumar,1,9,telugu-titans,2
Yashwant Bishnoi,1,3,tamil-thalaivas,2
Amit,1,18,up-yoddha,1
Arun Kumar HN,1,2,haryana-steelers,1
Lalit Chaudhary,1,4,gujarat-fortunegiants,1
Ajinkya Rohidas Kapre,1,2,u-mumba,1
Sunil Kumar,1,18,gujarat-fortunegiants,1
Ravindra Ramesh Kumawat,1,3,bengal-warriors,1
Surinder Singh,1,19,u-mumba,1
Fazel Atrachali,1,19,u-mumba,1
Hadi Tajik,1,12,puneri-paltan,1
PO Surjeet Singh,1,19,puneri-paltan,1
Dharmaraj Cheralathan,1,17,haryana-steelers,1
C. Arun,1,18,telugu-titans,1
Sumit,1,18,up-yoddha,1
Ajay,1,9,bengaluru-bulls,1
Shubham Shinde,1,13,puneri-paltan,1
Hemant Chauhan,1,3,tamil-thalaivas,1
Himanshu,1,3,tamil-thalaivas,1
Chand Singh,1,9,haryana-steelers,1
Vikas Chhillar,1,1,haryana-steelers,1
Balram,1,2,dabang-delhi-kc,1
Saurabh Nandal,1,18,bengaluru-bulls,1
