team_name,Season,matches_played,do-or
U Mumba,6,23,89
U.P. Yoddha,6,25,86
Telugu Titans,6,22,85
Bengal Warriors,6,23,85
Jaipur Pink Panthers,6,22,75
Gujarat Fortunegiants,6,25,74
Bengaluru Bulls,6,24,73
Dabang Delhi K.C.,6,24,73
Puneri Paltan,6,22,71
Tamil Thalaivas,6,22,67
Patna Pirates,6,22,54
Haryana Steelers,6,22,45
