player_name,season,matches_played,team,avg-tackle
Surender Nada,1,21,haryana-steelers,3.81
Vishal Bhardwaj,1,22,telugu-titans,3.23
PO Surjeet Singh,1,24,bengal-warriors,3.17
Manjeet Chhillar,1,15,jaipur-pink-panthers,3.13
Girish Maruti Ernak,1,21,puneri-paltan,3.05
Amit Hooda,1,22,tamil-thalaivas,2.77
Ravinder Pahal,1,19,bengaluru-bulls,2.74
Jaideep,1,26,patna-pirates,2.73
Abozar Mohajermighani,1,24,gujarat-fortunegiants,2.71
Surender Singh,1,22,u-mumba,2.64
Mahender Singh,1,22,bengaluru-bulls,2.59
Sandeep Narwal,1,21,puneri-paltan,2.48
Nitesh Kumar,1,19,up-yoddha,2.47
Satpal,1,10,dabang-delhi-kc,2.4
Sunil Kumar,1,24,gujarat-fortunegiants,2.38
Fazel Atrachali,1,24,gujarat-fortunegiants,2.38
Sombir,1,17,telugu-titans,2.29
Ran Singh,1,23,bengal-warriors,2.26
Jeeva Kumar,1,22,up-yoddha,2
Kuldeep Singh,1,16,bengaluru-bulls,2
Parvesh Bhainswal,1,24,gujarat-fortunegiants,2
Darshan J.,1,20,tamil-thalaivas,2
Deepak Yadav,1,4,u-mumba,2
Vijay,1,19,patna-pirates,1.95
Mohit Chhillar,1,20,haryana-steelers,1.95
Sagar B Krishna,1,17,up-yoddha,1.88
Yatharth Deshwal,1,6,dabang-delhi-kc,1.83
Vishal,1,5,dabang-delhi-kc,1.8
Tapas Pal,1,5,dabang-delhi-kc,1.8
C. Arun,1,20,tamil-thalaivas,1.75
Rinku Narwal,1,13,puneri-paltan,1.62
Jawahar Dagar,1,18,patna-pirates,1.61
D. Suresh Kumar,1,5,u-mumba,1.6
Rakesh Kumar,1,10,telugu-titans,1.6
Monu,1,19,puneri-paltan,1.58
Shrikant Tewthia,1,23,bengal-warriors,1.57
Kuldeep Singh,1,20,u-mumba,1.55
Santhapanaselvam,1,10,jaipur-pink-panthers,1.5
E Subash,1,2,u-mumba,1.5
Vishal Mane,1,26,patna-pirates,1.5
Kuldeep Singh,1,5,haryana-steelers,1.4
Dharmaraj Cheralathan,1,18,puneri-paltan,1.39
Sunil,1,18,dabang-delhi-kc,1.39
Vikash,1,19,haryana-steelers,1.37
Somvir Shekhar,1,22,jaipur-pink-panthers,1.36
Nilesh Shinde,1,15,dabang-delhi-kc,1.33
Sunil Siddhgavali,1,12,jaipur-pink-panthers,1.33
Ravi Kumar,1,23,puneri-paltan,1.3
Sidharth,1,21,jaipur-pink-panthers,1.29
Rakesh Singh Kumar,1,19,haryana-steelers,1.26
Hadi Oshtorak,1,16,u-mumba,1.25
Ziaur Rahman,1,16,puneri-paltan,1.25
D. Pradap,1,16,tamil-thalaivas,1.25
Vikash,1,4,bengal-warriors,1.25
Pankaj,1,13,up-yoddha,1.23
Farhad Rahimi Milaghardan,1,18,telugu-titans,1.22
Akshay Jadhav,1,10,puneri-paltan,1.2
Sunil Jaipal,1,13,bengaluru-bulls,1.15
Rohit Rana,1,21,telugu-titans,1.14
Joginder Singh Narwal,1,8,u-mumba,1.13
Anup Kumar,1,21,u-mumba,1.1
N. Renjith,1,11,u-mumba,1.09
Babu M,1,2,haryana-steelers,1
Gurvinder Singh,1,5,up-yoddha,1
Muruthu M,1,3,tamil-thalaivas,1
Santhosh B.S,1,9,up-yoddha,1
Rajesh Narwal,1,16,up-yoddha,1
Swapnil Dilip Shinde,1,13,dabang-delhi-kc,1
Manish,1,23,patna-pirates,0.96
Nitin Rawal,1,21,jaipur-pink-panthers,0.95
Bajirao Hodage,1,12,dabang-delhi-kc,0.92
Sachin Shingade,1,26,patna-pirates,0.85
Viraj Vishnu Landge,1,19,dabang-delhi-kc,0.84
Jeeva Gopal,1,6,haryana-steelers,0.83
Elangeshwaran R,1,5,telugu-titans,0.8
Vineet Sharma,1,18,tamil-thalaivas,0.78
Gurvinder Singh,1,9,bengaluru-bulls,0.78
Neeraj Kumar,1,17,haryana-steelers,0.76
Ashish Kumar,1,20,bengaluru-bulls,0.75
Sachin Kumar,1,9,bengaluru-bulls,0.67
Manoj Dhull,1,9,jaipur-pink-panthers,0.67
Deepak Kumar Rathee,1,6,haryana-steelers,0.67
Shashank Wankhede,1,3,bengal-warriors,0.67
Vinod Kumar,1,21,patna-pirates,0.67
Vijay Kumar,1,8,tamil-thalaivas,0.63
Shrikant Jadhav,1,19,u-mumba,0.63
Wazir Singh,1,21,haryana-steelers,0.62
Ravi Dalal,1,5,dabang-delhi-kc,0.6
Ashish Chhokar,1,5,haryana-steelers,0.6
Rahul Kumar,1,10,bengal-warriors,0.6
Sachin,1,24,gujarat-fortunegiants,0.58
Deepak Niwas Hooda,1,24,puneri-paltan,0.58
Sanket Chavan,1,7,tamil-thalaivas,0.57
Hadi Tajik,1,9,up-yoddha,0.56
Rohit Kumar,1,22,bengaluru-bulls,0.55
Rohit Baliyan,1,17,dabang-delhi-kc,0.53
Nitin Tomar,1,20,up-yoddha,0.5
Sanoj Kumar,1,2,up-yoddha,0.5
Vinod Kumar,1,4,telugu-titans,0.5
Darshan Kadian,1,16,u-mumba,0.44
Vinod Kumar,1,19,bengal-warriors,0.42
Monu Goyat,1,26,patna-pirates,0.42
Ajay Thakur,1,22,tamil-thalaivas,0.41
Rahul Chaudhari,1,22,telugu-titans,0.41
Kashiling Adake,1,20,u-mumba,0.4
Meraj Sheykh,1,20,dabang-delhi-kc,0.4
Anil Kumar,1,5,tamil-thalaivas,0.4
